"variable","block"
"UniRef90_A4G9T7","mG"
"UniRef90_I4F6C6","mG"
"UniRef90_L8NWJ8","mG"
"UniRef90_S3JJV3","mG"
"UniRef90_I4F6U2","mG"
"UniRef90_A8YGE9","mG"
"UniRef90_I4HI04","mG"
"UniRef90_B0JMP1","mG"
"UniRef90_L8NR11","mG"
"UniRef90_I4ISM8","mG"
"UniRef90_T2J5R9","mG"
"UniRef90_L8NWZ1","mG"
"UniRef90_L7E5X9","mG"
"UniRef90_A6T3J1","mG"
"UniRef90_I4IKU4","mG"
"UniRef90_L7EFZ7","mG"
"UniRef90_I4FDP8","mG"
"UniRef90_I4F5S2","mG"
"UniRef90_L8P1H1","mG"
"UniRef90_I4HRV0","mG"
"UniRef90_I4FCQ0","mG"
"UniRef90_I4IJI9","mG"
"UniRef90_I4H2X9","mG"
"UniRef90_L7E3L9","mG"
"UniRef90_I4G9T8","mG"
"UniRef90_I4HE39","mG"
"UniRef90_B0JSZ4","mG"
"UniRef90_I4HGI9","mG"
"UniRef90_I4H0I2","mG"
"UniRef90_I4H5L1","mG"
"UniRef90_I4FAY5","mG"
"UniRef90_L8NS24","mG"
"UniRef90_I4G0V7","mG"
"UniRef90_I4FD56","mG"
"UniRef90_I4FL25","mG"
"UniRef90_I4FA99","mG"
"UniRef90_I4IAR4","mG"
"UniRef90_I4HWZ1","mG"
"UniRef90_I4H1Z2","mG"
"UniRef90_I4I1X8","mG"
"UniRef90_I4IDY7","mG"
"UniRef90_I4G332","mG"
"UniRef90_I4IK20","mG"
"UniRef90_B0JLR3","mG"
"UniRef90_I4FI02","mG"
"UniRef90_I4F6R1","mG"
"UniRef90_L7EFS5","mG"
"UniRef90_I4IB74","mG"
"UniRef90_L8NV10","mG"
"UniRef90_I4G2A2","mG"
"UniRef90_I4IQ24","mG"
"UniRef90_I4FDS4","mG"
"UniRef90_I4I656","mG"
"UniRef90_L8NRP2","mG"
"UniRef90_I4FE42","mG"
"UniRef90_I4ISG7","mG"
"UniRef90_I4FWK1","mG"
"UniRef90_S3K3T0","mG"
"UniRef90_I4HW51","mG"
"UniRef90_S3JMX4","mG"
"UniRef90_L8NVZ0","mG"
"UniRef90_I4IEU5","mG"
"UniRef90_I4HMH3","mG"
"UniRef90_I4GTW8","mG"
"UniRef90_I4F8E0","mG"
"UniRef90_I4G4C0","mG"
"UniRef90_I4FH25","mG"
"UniRef90_I4F8B5","mG"
"UniRef90_L8P3D7","mG"
"UniRef90_L7E5Z8","mG"
"UniRef90_L8NSV6","mG"
"UniRef90_I4FI69","mG"
"UniRef90_I4FHX5","mG"
"UniRef90_B0JNM4","mG"
"UniRef90_I4FZ04","mG"
"UniRef90_I4H947","mG"
"UniRef90_I4GD70","mG"
"UniRef90_S3JEY0","mG"
"UniRef90_I4FHZ8","mG"
"UniRef90_I4FI40","mG"
"UniRef90_I4FI05","mG"
"UniRef90_I4I5Z8","mG"
"UniRef90_S3JV87","mG"
"UniRef90_I4FAB7","mG"
"UniRef90_L8P1E2","mG"
"UniRef90_I4GFW3","mG"
"UniRef90_B0JXZ0","mG"
"UniRef90_L7E558","mG"
"UniRef90_B0JM63","mG"
"UniRef90_I4F6Y5","mG"
"UniRef90_I4IA77","mG"
"UniRef90_K9EPF3","mG"
"UniRef90_I4HXV0","mG"
"UniRef90_I4GL37","mG"
"UniRef90_I4FBM0","mG"
"UniRef90_B0JMK5","mG"
"UniRef90_I4FEV4","mG"
"UniRef90_S3J4H9","mG"
"UniRef90_I4I0H8","mG"
"UniRef90_I4GFB8","mG"
"UniRef90_I4GTG0","mG"
"UniRef90_I4GBV5","mG"
"UniRef90_L7EDP0","mG"
"UniRef90_I4H8H9","mG"
"UniRef90_I4GUC4","mG"
"UniRef90_I4HPM8","mG"
"UniRef90_S3JMM6","mG"
"UniRef90_I4IL73","mG"
"UniRef90_L7EDE3","mG"
"UniRef90_I4FEI3","mG"
"UniRef90_I4IAV2","mG"
"UniRef90_L7EAB6","mG"
"UniRef90_S3J347","mG"
"UniRef90_I4F652","mG"
"UniRef90_I4IW36","mG"
"UniRef90_I4FGC0","mG"
"UniRef90_I4IQY3","mG"
"UniRef90_I4HW50","mG"
"UniRef90_I4I305","mG"
"UniRef90_I4GK73","mG"
"UniRef90_S3IW29","mG"
"UniRef90_L7EBW8","mG"
"UniRef90_I4FZK5","mG"
"UniRef90_I4ICE5","mG"
"UniRef90_L8NSJ9","mG"
"UniRef90_I4GFB4","mG"
"UniRef90_L7E0N8","mG"
"UniRef90_I4FFV0","mG"
"UniRef90_L7E3U2","mG"
"UniRef90_I4FTV4","mG"
"UniRef90_I4HPP8","mG"
"UniRef90_I4GMN0","mG"
"UniRef90_I4HEQ0","mG"
"UniRef90_S3JA98","mG"
"UniRef90_I4IUJ2","mG"
"UniRef90_I4GRF0","mG"
"UniRef90_L8NZD6","mG"
"UniRef90_S3KAW8","mG"
"UniRef90_S3J237","mG"
"UniRef90_L7E910","mG"
"UniRef90_I4HWB7","mG"
"UniRef90_I4F6D3","mG"
"UniRef90_I4FC73","mG"
"UniRef90_I4FIR5","mG"
"UniRef90_L7EC41","mG"
"UniRef90_I4H763","mG"
"UniRef90_L7EC74","mG"
"UniRef90_I4GHC4","mG"
"UniRef90_I4HAD6","mG"
"UniRef90_I4FIY2","mG"
"UniRef90_I4FC74","mG"
"UniRef90_B0JQU5","mG"
"UniRef90_I4I2A7","mG"
"UniRef90_L7E1Y5","mG"
"UniRef90_I4HQL3","mG"
"UniRef90_I4F6A6","mG"
"UniRef90_I4GDP0","mG"
"UniRef90_L7E1Y0","mG"
"UniRef90_I4HQH5","mG"
"UniRef90_L7E405","mG"
"UniRef90_I4HXA1","mG"
"UniRef90_L7E4A5","mG"
"UniRef90_L7ECM6","mG"
"UniRef90_S3J170","mG"
"UniRef90_I4GYN4","mG"
"UniRef90_S3JLE3","mG"
"UniRef90_S3J7Y4","mG"
"UniRef90_I4GXX1","mG"
"UniRef90_I4IMK6","mG"
"UniRef90_I4FCF8","mG"
"UniRef90_I4FCU3","mG"
"UniRef90_I4F792","mG"
"UniRef90_L7EDG4","mG"
"UniRef90_L8NWM2","mG"
"UniRef90_J7TUV6","mG"
"UniRef90_I4IUV8","mG"
"UniRef90_L7EBS9","mG"
"UniRef90_S3JI14","mG"
"UniRef90_I4HUV5","mG"
"UniRef90_L8NTC3","mG"
"UniRef90_L7E3U7","mG"
"UniRef90_I4GH93","mG"
"UniRef90_I4G8X8","mG"
"UniRef90_I4FDS6","mG"
"UniRef90_I4FD20","mG"
"UniRef90_I4GS86","mG"
"UniRef90_I4GLM7","mG"
"UniRef90_I4FB37","mG"
"UniRef90_S3J2K5","mG"
"UniRef90_S3KDI8","mG"
"UniRef90_I4I1C6","mG"
"UniRef90_I4IRI9","mG"
"UniRef90_S3KG56","mG"
"UniRef90_I4FCN6","mG"
"UniRef90_L7EAD6","mG"
"UniRef90_L7E2A3","mG"
"UniRef90_B0JG92","mG"
"UniRef90_I4FAE8","mG"
"UniRef90_I4FEY2","mG"
"UniRef90_S3JUU9","mG"
"UniRef90_I4I0W5","mG"
"UniRef90_L7E5P5","mG"
"UniRef90_I4F8L4","mG"
"UniRef90_C1A6S3","mG"
"UniRef90_I4GIQ8","mG"
"UniRef90_I4FJ27","mG"
"UniRef90_S3JD12","mG"
"UniRef90_L7E6Z8","mG"
"UniRef90_L7E793","mG"
"UniRef90_L8NZ30","mG"
"UniRef90_I4HLR6","mG"
"UniRef90_B0JR47","mG"
"UniRef90_S3JYH4","mG"
"UniRef90_I4GDB5","mG"
"UniRef90_I4FUU4","mG"
"UniRef90_I4F5U4","mG"
"UniRef90_I4FH38","mG"
"UniRef90_S3JGC2","mG"
"UniRef90_I4G5X3","mG"
"UniRef90_I4F617","mG"
"UniRef90_I4F6E8","mG"
"UniRef90_I4IVY6","mG"
"UniRef90_S3JCL7","mG"
"UniRef90_I4FFI5","mG"
"UniRef90_I4I2J5","mG"
"UniRef90_I4FJJ7","mG"
"UniRef90_I4ILT7","mG"
"UniRef90_L8NNU2","mG"
"UniRef90_I4GNX4","mG"
"UniRef90_I4H327","mG"
"UniRef90_S3J0X3","mG"
"UniRef90_I4I5T9","mG"
"UniRef90_I4FCI0","mG"
"UniRef90_I4F9D4","mG"
"UniRef90_B0JN81","mG"
"UniRef90_I4HL81","mG"
"UniRef90_B0JUT6","mG"
"UniRef90_L7ECJ1","mG"
"UniRef90_L7EAQ2","mG"
"UniRef90_L7E5M8","mG"
"UniRef90_B0JJT8","mG"
"UniRef90_I4HHK3","mG"
"UniRef90_L7E9L5","mG"
"UniRef90_I4I9H1","mG"
"UniRef90_I4F9R5","mG"
"UniRef90_L7E1P4","mG"
"UniRef90_S3JWW5","mG"
"UniRef90_I4FB35","mG"
"UniRef90_S3JAA8","mG"
"UniRef90_I4FPV6","mG"
"UniRef90_S3J8K8","mG"
"UniRef90_I4FAE3","mG"
"UniRef90_L8NWX0","mG"
"UniRef90_S3J7B9","mG"
"UniRef90_L7E9P9","mG"
"UniRef90_L7ED93","mG"
"UniRef90_L8NKM0","mG"
"UniRef90_I4HKD4","mG"
"UniRef90_I4F7P9","mG"
"UniRef90_I4I628","mG"
"UniRef90_L7EBH8","mG"
"UniRef90_B0JUL0","mG"
"UniRef90_I4GYU3","mG"
"UniRef90_I4H447","mG"
"UniRef90_I4GIT4","mG"
"UniRef90_I4FCU9","mG"
"UniRef90_S3J9I1","mG"
"UniRef90_I4HW26","mG"
"UniRef90_I4I247","mG"
"UniRef90_I4HRF8","mG"
"UniRef90_I4HDQ1","mG"
"UniRef90_L7E1I6","mG"
"UniRef90_B0JK75","mG"
"UniRef90_I4FT94","mG"
"UniRef90_I4F7E5","mG"
"UniRef90_G0AFD4","mG"
"UniRef90_I4I5Y0","mG"
"UniRef90_I4GP55","mG"
"UniRef90_I4G9H7","mG"
"UniRef90_I4F6E9","mG"
"UniRef90_I4IRG9","mG"
"UniRef90_I4HL01","mG"
"UniRef90_S3JIH3","mG"
"UniRef90_I4HHB4","mG"
"UniRef90_I4HEE1","mG"
"UniRef90_I4FIR3","mG"
"UniRef90_I4FD48","mG"
"UniRef90_I4FIR4","mG"
"UniRef90_L8NXH9","mG"
"UniRef90_L8P0Y9","mG"
"UniRef90_L7E8Z8","mG"
"UniRef90_I4FWJ9","mG"
"UniRef90_I4IC69","mG"
"UniRef90_I4IM83","mG"
"UniRef90_I4HYF3","mG"
"UniRef90_L8P0I7","mG"
"UniRef90_I4FFE6","mG"
"UniRef90_L7E6Y9","mG"
"UniRef90_I4F9P7","mG"
"UniRef90_S3KG23","mG"
"UniRef90_I4F6M9","mG"
"UniRef90_I4I2P9","mG"
"UniRef90_I4HQI9","mG"
"UniRef90_I4GRP9","mG"
"UniRef90_S3J254","mG"
"UniRef90_S3JFF4","mG"
"UniRef90_L7DZ88","mG"
"UniRef90_I4FC34","mG"
"UniRef90_I4IQD2","mG"
"UniRef90_L8NU66","mG"
"UniRef90_I4GH35","mG"
"UniRef90_I4F9X2","mG"
"UniRef90_S3JA77","mG"
"UniRef90_L7E5C7","mG"
"UniRef90_I4FHM3","mG"
"UniRef90_L8P113","mG"
"UniRef90_D9Y4Y6","mG"
"UniRef90_I4F5T2","mG"
"UniRef90_S3JGN3","mG"
"UniRef90_I4FI52","mG"
"UniRef90_B0JPK4","mG"
"UniRef90_I4GJB5","mG"
"UniRef90_L7EDK2","mG"
"UniRef90_I4HH50","mG"
"UniRef90_I4GYT0","mG"
"UniRef90_L7EFK2","mG"
"UniRef90_I4FU29","mG"
"UniRef90_I4FHH2","mG"
"UniRef90_L8NTQ6","mG"
"UniRef90_S3J0K1","mG"
"UniRef90_I4FBG7","mG"
"UniRef90_I4GN04","mG"
"UniRef90_I4HII7","mG"
"UniRef90_I4HCK2","mG"
"UniRef90_L7E5H7","mG"
"UniRef90_H1QCS2","mG"
"UniRef90_L8P0P3","mG"
"UniRef90_I4FBN0","mG"
"UniRef90_I4F641","mG"
"UniRef90_I4HH88","mG"
"UniRef90_I4HWP7","mG"
"UniRef90_I4FG66","mG"
"UniRef90_I4GV37","mG"
"UniRef90_I4H1B4","mG"
"UniRef90_L8NZP4","mG"
"UniRef90_S3JFM5","mG"
"UniRef90_L8NPH4","mG"
"UniRef90_I4GUI8","mG"
"UniRef90_I4FWK0","mG"
"UniRef90_I4FCY8","mG"
"UniRef90_I4IJ74","mG"
"UniRef90_I4GWT6","mG"
"UniRef90_I4GRA9","mG"
"UniRef90_I4FAH4","mG"
"UniRef90_S3JAW4","mG"
"UniRef90_L8NPK9","mG"
"UniRef90_I4FIP0","mG"
"UniRef90_S3JA42","mG"
"UniRef90_L7E986","mG"
"UniRef90_I4HG53","mG"
"UniRef90_I4FF69","mG"
"UniRef90_I4FH84","mG"
"UniRef90_I4FSM3","mG"
"UniRef90_I4I114","mG"
"UniRef90_L8NKP9","mG"
"UniRef90_I4GR80","mG"
"UniRef90_I4F8W0","mG"
"UniRef90_I4IKW1","mG"
"UniRef90_L8NUI4","mG"
"UniRef90_I4G6S8","mG"
"UniRef90_L8NTI8","mG"
"UniRef90_B0JJ97","mG"
"UniRef90_I4GER5","mG"
"UniRef90_I4F8Z6","mG"
"UniRef90_I4FF67","mG"
"UniRef90_L7E153","mG"
"UniRef90_I4F6A0","mG"
"UniRef90_L8NS68","mG"
"UniRef90_L8NZ31","mG"
"UniRef90_I4IWX8","mG"
"UniRef90_I4FB31","mG"
"UniRef90_I4HMQ7","mG"
"UniRef90_I4F7Z8","mG"
"UniRef90_I4HGR8","mG"
"UniRef90_I4HJI8","mG"
"UniRef90_I4H3B4","mG"
"UniRef90_S3JAT5","mG"
"UniRef90_L8P1Z1","mG"
"UniRef90_I4F8Z7","mG"
"UniRef90_I4HWP5","mG"
"UniRef90_L7EE20","mG"
"UniRef90_B0JXM1","mG"
"UniRef90_L8NZP3","mG"
"UniRef90_L8P0I6","mG"
"UniRef90_I4FB30","mG"
"UniRef90_S3KK06","mG"
"UniRef90_S3KAQ1","mG"
"UniRef90_I4FAF5","mG"
"UniRef90_I4HUJ4","mG"
"UniRef90_I4H7G4","mG"
"UniRef90_I4F751","mG"
"UniRef90_S3JAR8","mG"
"UniRef90_I4I4D2","mG"
"UniRef90_I4GLD4","mG"
"UniRef90_I4F8Q2","mG"
"UniRef90_I4GKY1","mG"
"UniRef90_S3JDI8","mG"
"UniRef90_I4IPG0","mG"
"UniRef90_I4GDP9","mG"
"UniRef90_I4FB33","mG"
"UniRef90_I4IUX8","mG"
"UniRef90_L7E0N4","mG"
"UniRef90_B0JFZ9","mG"
"UniRef90_I4IPR3","mG"
"UniRef90_I4F7X1","mG"
"UniRef90_I4FY33","mG"
"UniRef90_S3J5D1","mG"
"UniRef90_I4F5T7","mG"
"UniRef90_I4IQ23","mG"
"UniRef90_I4HWT5","mG"
"UniRef90_L7E4S5","mG"
"UniRef90_S3J952","mG"
"UniRef90_L8NX53","mG"
"UniRef90_I4FB40","mG"
"UniRef90_S3J3T1","mG"
"UniRef90_L8NV07","mG"
"UniRef90_L8NLG4","mG"
"UniRef90_S3KDS6","mG"
"UniRef90_L7EFU5","mG"
"UniRef90_I4FBA8","mG"
"UniRef90_I4FDJ3","mG"
"UniRef90_H0IXI9","mG"
"UniRef90_I4I2X2","mG"
"UniRef90_I4G435","mG"
"UniRef90_L8NSS1","mG"
"UniRef90_I4F6T4","mG"
"UniRef90_L7EEV1","mG"
"UniRef90_I4FD52","mG"
"UniRef90_L7E3V0","mG"
"UniRef90_S3IW01","mG"
"UniRef90_I4FCI8","mG"
"UniRef90_I4F7J5","mG"
"UniRef90_S3KGB8","mG"
"UniRef90_I4II39","mG"
"UniRef90_B0JMS9","mG"
"UniRef90_L7E6X3","mG"
"UniRef90_I4HXL5","mG"
"UniRef90_L8NT87","mG"
"UniRef90_I4GFY1","mG"
"UniRef90_I4IIX7","mG"
"UniRef90_I4HY21","mG"
"UniRef90_I4F8R8","mG"
"UniRef90_L8NUL6","mG"
"UniRef90_I4FEM4","mG"
"UniRef90_I4FG50","mG"
"UniRef90_I4FAH8","mG"
"UniRef90_I4HHH4","mG"
"UniRef90_I4HRG3","mG"
"UniRef90_S3J2X7","mG"
"UniRef90_L7E734","mG"
"UniRef90_I4G5H2","mG"
"UniRef90_I4HTK4","mG"
"UniRef90_S3JB16","mG"
"UniRef90_I4FCC7","mG"
"UniRef90_L7EBS0","mG"
"UniRef90_L7E8E5","mG"
"UniRef90_A8YKN5","mG"
"UniRef90_L8P0U5","mG"
"UniRef90_I4HS89","mG"
"UniRef90_I4FNG3","mG"
"UniRef90_B0JFL4","mG"
"UniRef90_I4HIY8","mG"
"UniRef90_I4HRF6","mG"
"UniRef90_L7E6M0","mG"
"UniRef90_L8NT85","mG"
"UniRef90_L8P3N0","mG"
"UniRef90_S3J5M6","mG"
"UniRef90_I4F8X6","mG"
"UniRef90_S3JLH4","mG"
"UniRef90_S3J879","mG"
"UniRef90_I4F6B7","mG"
"UniRef90_I4G1Z1","mG"
"UniRef90_L8NUD0","mG"
"UniRef90_L8P3E1","mG"
"UniRef90_D2UYN3","mG"
"UniRef90_I4FZU2","mG"
"UniRef90_I4HTD6","mG"
"UniRef90_I4HLA1","mG"
"UniRef90_S3IWM3","mG"
"UniRef90_I4ICB6","mG"
"UniRef90_L8NIF0","mG"
"UniRef90_S3JDR7","mG"
"UniRef90_S3JM00","mG"
"UniRef90_I4FE31","mG"
"UniRef90_B0JSD0","mG"
"UniRef90_I4I2X0","mG"
"UniRef90_L8NZ93","mG"
"UniRef90_B0JTN5","mG"
"UniRef90_I4HW17","mG"
"UniRef90_I4F5U5","mG"
"UniRef90_L7EB53","mG"
"UniRef90_F1W3E8","mG"
"UniRef90_I4FDC5","mG"
"UniRef90_I4IMK1","mG"
"UniRef90_I4GJG2","mG"
"UniRef90_L8P0S3","mG"
"UniRef90_I4F5U9","mG"
"UniRef90_S3JR22","mG"
"UniRef90_S3J8L2","mG"
"UniRef90_I4HLM4","mG"
"UniRef90_I4FTH9","mG"
"UniRef90_I4GYP1","mG"
"UniRef90_I4F6T3","mG"
"UniRef90_S3JI33","mG"
"UniRef90_B0JSI2","mG"
"UniRef90_L7EAI5","mG"
"UniRef90_I4HY15","mG"
"UniRef90_I4HJT3","mG"
"UniRef90_I4FB39","mG"
"UniRef90_S3JVF7","mG"
"UniRef90_L7E0W0","mG"
"UniRef90_I4F978","mG"
"UniRef90_L7EBZ6","mG"
"UniRef90_I4HLN3","mG"
"UniRef90_I4FF20","mG"
"UniRef90_I4F7H9","mG"
"UniRef90_L8NPK4","mG"
"UniRef90_I4HGT1","mG"
"UniRef90_I4HUC4","mG"
"UniRef90_I4FD54","mG"
"UniRef90_L8NYA3","mG"
"UniRef90_I4HBR7","mG"
"UniRef90_L7E850","mG"
"UniRef90_I4HJI1","mG"
"UniRef90_L7EDN5","mG"
"UniRef90_I4FD95","mG"
"UniRef90_I4FB77","mG"
"UniRef90_I4HLA5","mG"
"UniRef90_I4HSG8","mG"
"UniRef90_L7E708","mG"
"UniRef90_L8NXK3","mG"
"UniRef90_I4FD64","mG"
"UniRef90_I4FIR1","mG"
"UniRef90_I4FYB7","mG"
"UniRef90_I4FPK1","mG"
"UniRef90_I4FD82","mG"
"UniRef90_L8NPZ2","mG"
"UniRef90_A1TLL1","mG"
"UniRef90_B0JNM3","mG"
"UniRef90_C6WTE5","mG"
"UniRef90_L7E4F9","mG"
"UniRef90_I4HSG9","mG"
"UniRef90_L7EA10","mG"
"UniRef90_B0JHM1","mG"
"UniRef90_I4I159","mG"
"UniRef90_I4HBL2","mG"
"UniRef90_I4GLZ1","mG"
"UniRef90_I4FAH5","mG"
"UniRef90_I4FH07","mG"
"UniRef90_L7EB94","mG"
"UniRef90_I4ID67","mG"
"UniRef90_L8NZ97","mG"
"UniRef90_I4FCS8","mG"
"UniRef90_L8NW38","mG"
"UniRef90_I4FJ59","mG"
"UniRef90_I4GZZ9","mG"
"UniRef90_I4I0J1","mG"
"UniRef90_L7E395","mG"
"UniRef90_I4HNX1","mG"
"UniRef90_L7EE53","mG"
"UniRef90_L8NWA8","mG"
"UniRef90_S3IU97","mG"
"UniRef90_L7E4F0","mG"
"UniRef90_I4F8U1","mG"
"UniRef90_I4F8Z0","mG"
"UniRef90_I4FLZ1","mG"
"UniRef90_I4GD94","mG"
"UniRef90_S3JAS7","mG"
"UniRef90_S3J9H7","mG"
"UniRef90_S3JGL2","mG"
"UniRef90_I4FGI5","mG"
"UniRef90_I4F7W9","mG"
"UniRef90_I4H1Q4","mG"
"UniRef90_L7E1Q5","mG"
"UniRef90_I4I3E1","mG"
"UniRef90_I4FBN1","mG"
"UniRef90_I4FN93","mG"
"UniRef90_S3K3J6","mG"
"UniRef90_L7EBJ8","mG"
"UniRef90_I4F9Z8","mG"
"UniRef90_I4F651","mG"
"UniRef90_B0JLE0","mG"
"UniRef90_L7EEN0","mG"
"UniRef90_I4FHF2","mG"
"UniRef90_L7ECL1","mG"
"UniRef90_L7E3J4","mG"
"UniRef90_S3J9G9","mG"
"UniRef90_I4FHT5","mG"
"UniRef90_S3JBC2","mG"
"UniRef90_I4IWX9","mG"
"UniRef90_I4FBQ8","mG"
"UniRef90_I4HMG0","mG"
"UniRef90_S3JVL9","mG"
"UniRef90_I4FB34","mG"
"UniRef90_I4GF32","mG"
"UniRef90_L8NWS7","mG"
"UniRef90_K8GGF0","mG"
"UniRef90_I4FI87","mG"
"UniRef90_S3JF16","mG"
"UniRef90_I4FDU0","mG"
"UniRef90_I4F8U0","mG"
"UniRef90_I4FE33","mG"
"UniRef90_L8NZN4","mG"
"UniRef90_I4F6X5","mG"
"UniRef90_I4GJB1","mG"
"UniRef90_S3JAI5","mG"
"UniRef90_I4GAZ2","mG"
"UniRef90_I4ICB3","mG"
"UniRef90_I4FZT6","mG"
"UniRef90_I4FB67","mG"
"UniRef90_I4GI69","mG"
"UniRef90_I4GFK4","mG"
"UniRef90_I4FHZ7","mG"
"UniRef90_S3JVK5","mG"
"UniRef90_I4GEE5","mG"
"UniRef90_I4GY19","mG"
"UniRef90_I4FWR5","mG"
"UniRef90_S3JN96","mG"
"UniRef90_I4F890","mG"
"UniRef90_I4HFL7","mG"
"UniRef90_I4FDM0","mG"
"UniRef90_I4F7X8","mG"
"UniRef90_I4I311","mG"
"UniRef90_B6IV32","mG"
"UniRef90_I4GCV0","mG"
"UniRef90_I4FD47","mG"
"UniRef90_I4HGV7","mG"
"UniRef90_I4G2W5","mG"
"UniRef90_I4IFR3","mG"
"UniRef90_B0JHK4","mG"
"UniRef90_I4FF91","mG"
"UniRef90_I4HAW7","mG"
"UniRef90_I4I092","mG"
"UniRef90_L8NUA5","mG"
"UniRef90_L7E0F0","mG"
"UniRef90_I4GFK3","mG"
"UniRef90_I4HB55","mG"
"UniRef90_I4F8Z9","mG"
"UniRef90_I4HTF7","mG"
"UniRef90_I4ITN6","mG"
"UniRef90_I4GKF2","mG"
"UniRef90_L8P386","mG"
"UniRef90_I4G045","mG"
"UniRef90_S3JNZ7","mG"
"UniRef90_S3JBS3","mG"
"UniRef90_I4F8Z3","mG"
"UniRef90_S3J6D3","mG"
"UniRef90_I4FC27","mG"
"UniRef90_L8NZB0","mG"
"UniRef90_S3K3W0","mG"
"UniRef90_L7E4M4","mG"
"UniRef90_I4G320","mG"
"UniRef90_L7E713","mG"
"UniRef90_I4H282","mG"
"UniRef90_I4I3E2","mG"
"UniRef90_S3JKS1","mG"
"UniRef90_I4FE79","mG"
"UniRef90_I4HTE7","mG"
"UniRef90_I4GUW0","mG"
"UniRef90_L7ED19","mG"
"UniRef90_I4I3I9","mG"
"UniRef90_I4GR77","mG"
"UniRef90_I4FAN6","mG"
"UniRef90_I4G0Q0","mG"
"UniRef90_I4IR62","mG"
"UniRef90_I4GE50","mG"
"UniRef90_I4F6P7","mG"
"UniRef90_L7EE45","mG"
"UniRef90_I4GWI1","mG"
"UniRef90_I4FCY5","mG"
"UniRef90_L8NTG0","mG"
"UniRef90_I4GS52","mG"
"UniRef90_L8NY44","mG"
"UniRef90_L7E632","mG"
"UniRef90_S3J252","mG"
"UniRef90_L8P0I0","mG"
"UniRef90_I4HLM9","mG"
"UniRef90_I4FFP8","mG"
"UniRef90_I4FCN2","mG"
"UniRef90_B0JT93","mG"
"UniRef90_I4ISH6","mG"
"UniRef90_L7E034","mG"
"UniRef90_B0JHZ5","mG"
"UniRef90_I4HY35","mG"
"UniRef90_S3JNT0","mG"
"UniRef90_I4GPM0","mG"
"UniRef90_I4HEU9","mG"
"UniRef90_L8NYA0","mG"
"UniRef90_S3KAF1","mG"
"UniRef90_L7EDM2","mG"
"UniRef90_I4FE18","mG"
"UniRef90_I4F7M8","mG"
"UniRef90_I4F6B9","mG"
"UniRef90_B0JJ50","mG"
"UniRef90_I4H8W2","mG"
"UniRef90_B0JKX1","mG"
"UniRef90_L7E3Y7","mG"
"UniRef90_I4GDF6","mG"
"UniRef90_B0JKG5","mG"
"UniRef90_I4FGL0","mG"
"UniRef90_B0JNB5","mG"
"UniRef90_I4HPI1","mG"
"UniRef90_I4GAW5","mG"
"UniRef90_S3K7M7","mG"
"UniRef90_I4G1I8","mG"
"UniRef90_S3K8V3","mG"
"UniRef90_L7EEP9","mG"
"UniRef90_I4FB32","mG"
"UniRef90_I4HW24","mG"
"UniRef90_I4FF24","mG"
"UniRef90_I4IV24","mG"
"UniRef90_I4I125","mG"
"UniRef90_I4FE60","mG"
"UniRef90_I4HSF8","mG"
"UniRef90_I4FBZ6","mG"
"UniRef90_I4F8Z5","mG"
"UniRef90_I4FQD0","mG"
"UniRef90_I4G521","mG"
"UniRef90_I4FH52","mG"
"UniRef90_B0JXS4","mG"
"UniRef90_I4FD49","mG"
"UniRef90_S3JAM6","mG"
"UniRef90_L7E6R8","mG"
"UniRef90_I4F8C3","mG"
"UniRef90_I4GGD2","mG"
"UniRef90_S3JC02","mG"
"UniRef90_I4H6R1","mG"
"UniRef90_I4FME8","mG"
"UniRef90_L8NZ58","mG"
"UniRef90_C6XCR4","mG"
"UniRef90_I4I4C1","mG"
"UniRef90_I4HWY5","mG"
"UniRef90_I4I443","mG"
"UniRef90_I4I084","mG"
"UniRef90_S3JBA2","mG"
"UniRef90_I4FAU1","mG"
"UniRef90_I4HJW4","mG"
"UniRef90_L7E0F7","mG"
"UniRef90_L7EGE1","mG"
"UniRef90_I4F9F9","mG"
"UniRef90_I4FBI8","mG"
"UniRef90_I4HHW7","mG"
"UniRef90_L7DZM0","mG"
"UniRef90_L8NRP3","mG"
"UniRef90_I4FGL2","mG"
"UniRef90_I4F5X7","mG"
"UniRef90_L7E993","mG"
"UniRef90_I4F9F4","mG"
"UniRef90_B6IV15","mG"
"UniRef90_I4IRT9","mG"
"UniRef90_L7E6Y0","mG"
"UniRef90_I4HRB8","mG"
"UniRef90_I4HR92","mG"
"UniRef90_I4FGA0","mG"
"UniRef90_I4F6U5","mG"
"UniRef90_I4FFH1","mG"
"UniRef90_S3JID3","mG"
"UniRef90_I4F7Z3","mG"
"UniRef90_I4GE31","mG"
"UniRef90_I4FBK5","mG"
"UniRef90_S3K3N0","mG"
"UniRef90_I4HIT3","mG"
"UniRef90_I4F7N4","mG"
"UniRef90_B0JK13","mG"
"UniRef90_S3KBV2","mG"
"UniRef90_I4F8E4","mG"
"UniRef90_I4IWQ0","mG"
"UniRef90_B0JX78","mG"
"UniRef90_L7E066","mG"
"UniRef90_I4FF52","mG"
"UniRef90_S3KBY3","mG"
"UniRef90_L8P1K8","mG"
"UniRef90_I4FG13","mG"
"UniRef90_B0JUN9","mG"
"UniRef90_B0JWH9","mG"
"UniRef90_S3JUF2","mG"
"UniRef90_B0JJV0","mG"
"UniRef90_I4IPM3","mG"
