taxon_name	mG19_06-15-1	mG19_06-15-2	mG19_06-15-3	mG19_07-23-1	mG19_07-23-2	mG19_07-23-3	mG19_09-10-1	mG19_09-10-2	mG19_09-10-3	mG19_09-29-1	mG19_09-29-2	mG19_09-29-3	mG19_11-3-1	mG19_11-3-2	mG19_11-3-3	mG19_12-4-1	mG19_12-4-2	mG19_12-4-3
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halorubrum;	0.000531	0.001037	0.000784	0.001164	0.001214	0.001164	0.001063	0.001442	0.001113	0.001139	0.000759	0.000481	0.00033	0.000165	0.000936	0.000291	0.000278	0.000304
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Halobiforma;	0	0.000531	0.0002655	0	0	0	0	0	0	0	0	0	0	0.000152	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Halopiger;	0	0	0	0.000354	0	0.00043	0.000329	0.000278	0.000354	0.000354	0.000506	0	0	0	0.000304	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Halostagnicola;	0	0	0	0	0	0.000304	0	0	0	0	0	0	0	0.0001645	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Haloterrigena;	0	0.000708	0.000354	0.000455	0	0.000278	0	0.000633	0.000329	0	0	0	0	0.000291	0.000329	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrialba;	0	0.00038	0.00019	0	0.000405	0.000481	0.00043	0.000506	0.000304	0	0	0	0	0.000139	0.000582	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrinema;	0	0.000658	0.000329	0.000405	0	0.000354	0.000278	0	0	0.000278	0	0	0	0.000152	0.000278	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natronococcus;	0	0	0	0.00081	0.000354	0.000531	0.000455	0.00038	0.000582	0.00081	0.000658	0	0	0	0.000304	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natronorubrum;	0.000354	0.000405	0.0003795	0	0.000278	0.000607	0.000304	0	0	0.000278	0.000329	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Salinarchaeum;	0	0.00043	0.000215	0	0	0	0	0	0.000329	0	0	0	0	0.0006705	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;	0.000987	0.001189	0.001088	0.001645	0.001872	0.001442	0.001214	0.00167	0.000961	0.001189	0.00124	0.00081	0.001244	0.001267	0.001341	0.000734	0.000886	0.000582
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;	0.000557	0.000835	0.000696	0.000658	0.000759	0.000886	0.000759	0.00129	0.00038	0	0.000531	0.000354	0.000609	0.0003045	0.00129	0.0003665	0.000455	0.000278
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter;	0	0.000329	0.0001645	0	0	0	0.000304	0.000405	0	0	0	0	0	0.00019	0	0	0	0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;	0	0	0	0	0.000304	0	0.000304	0.00038	0	0	0	0	0	0.0002655	0.00038	0	0	0
