geneID	mT19_11-3-1-1	mT19_11-3-1-2	mT19_11-3-2-1	mT19_11-3-2-2	mT19_11-3-3-1	mT19_11-3-3-2	mT19_12-4-1-1	mT19_12-4-1-2	mT19_12-4-2-1	mT19_12-4-2-2	mT19_12-4-3-1	mT19_12-4-3-2	mT19_6-15-1-1	mT19_6-15-1-2	mT19_6-15-2-1	mT19_6-15-2-2	mT19_6-15-3-1	mT19_6-15-3-2	mT19_7-23-1-1	mT19_7-23-1-2	mT19_7-23-2-1	mT19_7-23-2-2	mT19_7-23-3-1	mT19_7-23-3-2	mT19_9-10-1-1	mT19_9-10-1-2	mT19_9-10-2-1	mT19_9-10-2-2	mT19_9-10-3-1	mT19_9-10-3-2	mT19_9-29-1-1	mT19_9-29-1-2	mT19_9-29-2-1	mT19_9-29-2-2	mT19_9-29-3-1	mT19_9-29-3-2
O53_1545_gshA	182.63	178.79	155.12	152.86	218.36	153.54	215.01	166.58	104.70	115.04	79.24	104.90	66.45	49.07	49.91	61.06	26.31	43.48	45.48	36.23	27.49	51.53	52.79	41.93	77.09	71.19	56.80	65.27	74.67	46.19	74.77	71.52	56.04	44.90	39.88	38.45
O53_3965_O53_3965	0.77	0.60	0.56	0.59	1.20	1.01	1.24	0.67	1.21	1.12	1.92	2.59	1.44	1.69	3.44	0.77	0.36	0.52	0.88	0.73	0.81	1.16	0.10	0.55	0.64	1.03	0.22	1.36	0.45	0.38	0.57	0.24	0.18	0.12	0.91	1.79
O53_464_O53_464	22.90	19.92	21.43	2.49	28.61	30.47	142.48	130.72	104.62	106.22	211.68	265.37	33.46	15.14	15.52	12.54	11.56	44.20	11.52	0.00	8.40	12.74	8.74	2.74	0.00	4.43	10.33	9.39	0.00	0.00	7.58	0.00	0.00	0.00	10.02	0.00
O53_284_sdhE	27.29	32.82	48.90	36.81	75.66	81.54	98.01	90.90	82.67	88.61	138.94	151.99	32.92	41.10	78.40	49.39	121.05	109.42	13.02	9.09	21.14	19.94	37.33	37.60	35.65	26.57	35.16	32.42	57.65	37.65	24.52	27.75	38.58	38.80	148.48	161.33
O53_3297_O53_3297	5.29	6.47	13.28	8.63	19.64	18.05	10.36	12.47	16.32	11.73	15.78	15.52	51.34	32.06	34.36	48.36	41.96	68.65	6.48	16.74	5.58	3.55	10.94	4.52	5.30	2.93	2.29	2.84	9.48	4.88	1.51	1.14	6.96	1.82	24.80	18.87
O53_174_O53_174	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_1316_O53_1316	5.85	0.00	0.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.99	1.70	4.35	3.23	8.21	0.00	9.38	0.00	3.36	0.00	0.00	0.00	1.35	0.00	0.00	2.02	7.23	0.00	6.62	5.02	0.00	7.49	5.23	0.00	1.23	0.00
O53_3712_O53_3712	63.04	87.05	85.52	89.64	105.47	128.99	236.81	217.98	166.06	166.25	229.42	218.39	160.83	87.03	110.78	191.26	165.74	209.35	68.37	86.87	78.94	89.58	125.38	83.04	111.10	117.46	121.21	107.46	149.10	109.81	105.89	113.03	122.61	115.59	130.37	132.99
O53_644_pyrG	61.65	64.13	71.20	64.41	77.83	81.81	102.51	95.13	68.16	71.48	83.18	84.19	90.90	51.53	77.82	117.29	73.69	79.80	67.55	59.52	54.82	63.49	70.49	78.95	81.26	85.98	68.76	80.14	88.66	64.07	72.21	72.55	73.74	70.43	86.31	93.34
O53_316_O53_316	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
