geneID	mT19_11-3-1-1	mT19_11-3-1-2	mT19_11-3-2-1	mT19_11-3-2-2	mT19_11-3-3-1	mT19_11-3-3-2	mT19_12-4-1-1	mT19_12-4-1-2	mT19_12-4-2-1	mT19_12-4-2-2	mT19_12-4-3-1	mT19_12-4-3-2	mT19_6-15-1-1	mT19_6-15-1-2	mT19_6-15-2-1	mT19_6-15-2-2	mT19_6-15-3-1	mT19_6-15-3-2	mT19_7-23-1-1	mT19_7-23-1-2	mT19_7-23-2-1	mT19_7-23-2-2	mT19_7-23-3-1	mT19_7-23-3-2	mT19_9-10-1-1	mT19_9-10-1-2	mT19_9-10-2-1	mT19_9-10-2-2	mT19_9-10-3-1	mT19_9-10-3-2	mT19_9-29-1-1	mT19_9-29-1-2	mT19_9-29-2-1	mT19_9-29-2-2	mT19_9-29-3-1	mT19_9-29-3-2
O53_3431_O53_3431	200.12	210.36	156.50	141.58	208.70	180.11	101.71	112.66	78.19	127.63	96.98	123.21	83.91	318.58	321.10	53.07	34.87	138.12	66.98	125.97	61.74	87.52	76.87	55.82	161.82	142.14	50.99	69.41	79.05	105.67	97.21	66.03	36.04	89.84	106.15	62.25
O53_1419_O53_1419	11.75	13.99	10.70	13.40	12.55	12.83	28.30	31.19	18.54	23.45	27.89	30.49	15.17	29.99	31.64	13.01	12.43	16.57	6.01	11.70	4.90	6.27	7.32	5.52	9.33	8.29	15.24	6.84	11.74	13.97	9.66	14.45	18.55	12.60	21.21	18.62
O53_387_uvrB	5.57	5.16	6.06	5.91	7.01	5.32	8.66	9.25	4.76	3.92	5.39	4.92	4.66	5.59	5.24	3.76	3.51	6.60	1.74	1.19	2.41	2.86	2.19	2.47	3.26	3.58	2.20	2.88	4.70	2.97	3.52	1.27	1.64	1.81	2.77	2.25
O53_2898_O53_2898	4.87	7.27	4.39	1.80	6.04	5.12	7.75	8.40	10.43	2.19	15.08	10.97	8.10	7.46	12.37	2.25	2.56	7.65	2.02	2.76	1.56	1.25	1.81	1.18	0.76	2.12	1.69	0.84	2.53	2.33	0.39	0.96	1.17	0.62	1.58	1.98
O53_1175_mdnC	11.72	11.13	12.83	10.22	17.00	23.86	5.97	3.32	5.06	2.87	4.25	5.96	14.36	19.84	35.16	15.89	14.69	29.12	8.51	4.25	3.01	6.80	13.81	6.89	9.75	8.85	14.31	11.04	15.32	5.56	7.76	6.96	12.90	12.64	15.17	20.08
O53_4566_O53_4566	0.97	0.77	1.37	1.10	1.84	2.58	5.29	5.15	5.17	5.53	7.21	8.65	4.95	5.23	4.89	8.31	7.08	5.38	1.28	2.64	3.72	3.02	3.43	3.94	3.92	5.20	3.02	3.01	6.43	4.55	1.99	2.91	3.73	2.86	5.53	6.09
O53_398_O53_398	4387.98	3384.37	2794.95	2747.71	1940.72	1884.27	6304.87	7376.95	1670.00	2077.95	503.75	465.12	2695.66	2728.56	1509.00	653.89	614.21	1084.99	1821.08	1794.28	1565.26	2092.22	2676.21	1477.69	1700.06	1463.87	1747.73	1595.82	1860.19	1420.50	2340.13	2285.04	1791.05	2747.21	1158.74	1516.29
O53_1308_O53_1308	19.49	21.40	13.56	13.92	21.82	22.26	9.24	10.48	6.91	8.22	6.02	6.63	37.86	28.17	29.21	49.42	30.84	28.61	10.93	21.63	15.60	15.31	24.10	14.57	24.24	19.10	14.04	12.62	18.23	14.72	14.95	13.79	18.46	17.33	31.48	28.49
O53_2102_O53_2102	31.82	45.67	41.01	46.67	52.83	51.15	77.68	65.90	98.18	86.71	109.85	113.00	61.24	46.94	52.10	82.07	91.73	48.54	58.21	71.49	51.21	88.29	78.58	74.25	79.44	76.80	36.23	57.97	105.14	95.43	41.86	53.55	68.15	62.73	68.32	72.96
O53_3956_O53_3956	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_3398_O53_3398	14.83	15.70	10.21	1.25	1.88	0.83	3.92	5.86	2.93	2.64	0.51	0.24	1.60	0.00	0.00	0.00	0.00	0.00	6.67	0.00	7.22	17.38	10.10	2.00	17.16	4.98	5.02	4.86	4.39	4.36	6.91	21.66	4.08	9.13	0.68	2.64
O53_2763_O53_2763	1.79	2.37	1.98	0.69	2.82	4.44	4.01	1.72	2.56	3.83	5.49	7.16	2.95	3.12	8.62	8.10	14.35	18.51	0.87	0.78	0.45	1.14	1.97	0.87	0.79	1.06	1.23	0.54	1.31	1.25	0.20	1.23	0.84	0.51	10.66	10.83
O53_4347_O53_4347	0.00	0.00	138.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41.99	0.00	0.00	242.35	0.00	0.00	34.73	0.00	0.00	0.00	0.00	0.00	0.00
O53_748_hsdR	3.97	3.96	3.98	3.73	6.47	5.89	5.00	4.98	4.89	5.32	6.30	8.19	15.98	12.50	16.86	23.20	13.48	8.89	6.98	11.66	7.56	11.55	8.24	14.15	10.46	9.79	8.86	11.75	6.47	4.00	2.86	2.12	5.91	5.26	12.27	14.40
O53_463_lgrD	10.83	10.91	8.74	7.80	15.24	15.35	5.34	3.07	3.44	1.53	3.82	3.73	11.53	9.16	10.54	9.58	4.04	12.40	2.46	3.80	1.26	1.34	3.54	1.98	1.17	1.95	2.19	1.08	1.46	0.89	2.22	0.71	1.94	0.66	3.99	3.74
O53_3797_O53_3797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_4152_O53_4152	40.75	52.49	38.28	38.19	53.37	51.32	41.63	38.85	22.99	20.82	25.39	24.05	50.62	17.84	22.10	55.80	72.88	66.33	20.74	40.76	19.31	24.22	50.51	27.60	52.87	49.51	37.00	26.29	54.12	45.90	52.73	42.83	50.30	46.10	48.12	51.38
O53_5223_atpA	488.95	559.25	538.40	426.44	417.23	348.33	314.93	277.99	104.99	130.91	134.69	181.96	670.57	302.51	288.25	326.78	118.61	90.53	454.09	589.96	484.42	523.97	501.32	301.49	574.39	528.34	348.47	306.64	250.37	193.88	571.01	523.87	396.48	392.00	227.66	252.77
O53_370_cbiT	17.45	17.18	18.73	18.68	17.94	21.54	47.87	48.24	30.43	38.99	40.40	31.73	25.06	21.03	24.99	21.13	39.79	44.88	11.73	4.47	6.34	12.14	13.16	14.73	13.56	11.68	12.70	14.73	22.81	14.73	16.96	12.57	11.64	11.44	19.87	17.53
O53_4041_O53_4041	0.78	0.94	0.79	0.50	0.63	1.21	0.08	0.46	0.74	0.39	1.17	1.05	1.06	1.45	2.66	0.67	0.75	0.33	0.77	0.00	0.32	0.00	0.55	0.57	0.83	1.08	0.41	0.33	0.49	0.13	0.24	0.30	0.15	0.00	0.18	0.53
O53_1663_O53_1663	4.74	3.73	1.82	3.18	5.13	5.83	9.96	12.00	10.96	8.15	11.46	13.83	14.79	11.26	15.04	17.10	9.91	5.07	6.99	8.68	5.00	8.44	7.08	8.86	5.49	4.27	5.43	7.19	5.59	4.98	4.11	8.46	3.39	3.31	9.45	14.98
O53_5380_msrA	226.85	204.02	186.74	162.69	212.74	170.15	731.50	732.90	580.84	620.54	893.65	832.26	276.78	202.15	320.46	186.37	232.94	242.09	140.24	133.91	185.84	177.79	151.75	104.57	176.28	170.26	169.52	169.78	263.71	195.69	217.64	180.19	158.20	123.32	129.57	138.66
O53_1080_O53_1080	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_1822_O53_1822	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_5390_pcnB	8.28	8.06	8.24	5.79	10.86	11.94	18.79	15.29	9.72	12.28	12.74	12.09	20.97	23.58	31.97	22.98	14.11	6.08	10.06	8.24	9.09	7.47	8.07	12.00	13.50	11.74	9.25	13.40	13.27	12.44	8.21	7.63	7.53	6.56	13.61	15.88
O53_5330_O53_5330	2.21	1.10	0.00	0.00	1.21	1.01	2.95	3.01	1.18	2.11	1.45	2.55	1.72	3.02	2.84	0.00	0.00	1.90	1.97	0.00	0.00	0.61	0.56	1.35	0.00	2.00	0.00	0.00	1.79	2.17	0.00	0.00	5.75	0.82	0.00	0.24
O53_2622_mtnW	48.98	54.91	65.25	55.88	57.36	58.59	95.95	108.55	58.29	54.06	59.71	58.22	68.21	36.42	59.88	106.23	75.51	55.95	65.24	74.08	56.92	51.98	68.96	87.26	85.44	88.30	102.40	107.17	84.03	86.49	92.93	75.16	75.84	82.32	67.14	67.30
O53_1757_tsf	355.42	376.26	500.41	404.84	567.12	510.64	395.88	337.92	402.66	333.89	368.25	398.76	669.93	456.50	640.95	717.02	266.38	338.45	425.27	356.35	362.82	361.27	297.59	277.20	368.55	358.34	373.09	370.46	249.82	179.59	322.21	278.76	340.67	253.99	408.50	456.00
O53_383_O53_383	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_4134_O53_4134	0.00	0.00	0.00	0.00	20.60	0.00	0.00	0.00	0.00	0.00	15.27	0.00	49.00	17.32	15.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_500_O53_500	60.50	57.36	37.97	39.27	44.63	52.99	66.83	75.70	57.34	46.19	52.46	59.15	64.84	46.20	52.23	41.65	56.56	72.65	52.06	48.63	35.08	53.87	47.98	56.35	68.86	70.31	56.14	54.59	72.84	66.48	38.29	50.73	21.49	23.47	46.17	36.17
O53_2295_O53_2295	7.59	7.84	11.39	4.40	15.93	14.81	42.24	30.48	23.98	21.16	47.66	52.29	24.73	25.20	22.03	41.30	31.48	49.79	5.77	12.83	8.34	12.58	12.01	8.10	5.36	3.84	2.40	3.85	8.34	9.82	5.89	1.36	5.62	3.47	15.02	27.96
O53_3452_O53_3452	1.39	3.60	2.63	3.86	4.15	3.16	5.93	5.01	5.04	4.81	4.03	4.87	6.63	11.51	15.48	5.35	4.24	5.94	2.14	3.15	3.21	0.66	0.81	1.56	1.07	0.29	0.00	3.59	0.00	2.54	0.41	0.00	1.10	0.59	5.02	3.94
O53_2161_purB	114.05	117.11	140.45	150.33	113.06	128.07	144.47	134.05	101.98	95.90	67.93	65.49	131.17	75.09	99.92	147.78	45.31	61.44	161.83	157.16	102.22	92.36	136.76	106.91	206.79	212.03	147.17	140.38	99.25	81.58	80.63	62.19	89.60	76.96	85.07	89.48
O53_2811_O53_2811	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_4050_O53_4050	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_504_O53_504	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_3774_O53_3774	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_860_O53_860	1.70	2.13	3.33	2.61	2.87	3.11	11.58	14.05	8.92	7.62	12.13	12.36	7.24	5.67	7.09	10.23	8.20	8.41	2.93	3.16	3.31	2.33	3.78	3.67	3.00	3.06	3.07	3.62	4.69	3.55	2.59	2.20	2.39	2.73	4.50	5.06
O53_199_O53_199	357.80	397.34	149.20	231.22	306.25	169.25	17.66	13.61	8.45	6.50	7.27	11.19	160.44	64.94	6.40	5.30	38.08	50.97	102.93	91.81	44.69	54.51	168.36	82.76	322.53	303.44	156.76	112.59	352.64	248.20	507.32	403.04	202.64	207.04	50.31	90.61
O53_4603_O53_4603	2.42	4.63	2.07	6.36	7.74	2.10	3.98	5.14	11.90	13.85	10.41	10.65	13.37	16.49	12.42	7.83	16.63	19.08	7.10	0.00	2.33	9.68	7.69	2.83	3.99	5.16	0.00	6.07	3.04	2.82	0.78	0.00	0.00	1.74	7.33	17.68
O53_3775_O53_3775	0.00	0.00	0.00	0.00	6.46	20.99	22.22	13.96	18.31	0.00	13.49	14.35	19.83	22.71	19.60	23.89	0.00	0.00	4.55	0.00	28.70	39.69	30.30	45.15	16.73	18.68	75.20	29.11	0.00	5.15	0.00	49.24	0.00	11.94	14.65	3.92
O53_1180_O53_1180	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_5234_cspR	3.68	5.92	5.40	4.31	3.52	6.32	11.93	8.32	7.33	6.37	8.87	7.04	12.07	5.84	3.52	13.65	6.20	8.56	9.70	5.24	5.47	3.27	5.04	6.52	4.33	1.07	3.18	1.33	5.34	4.14	0.33	2.78	6.52	3.65	4.45	3.02
O53_3009_O53_3009	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_770_O53_770	5.39	3.84	2.14	2.82	4.81	3.77	1.23	0.98	1.69	0.83	3.77	3.08	7.22	18.50	22.73	3.27	2.77	3.78	2.57	2.48	1.21	2.08	1.96	1.27	3.54	3.80	2.39	1.94	4.28	3.89	2.85	3.07	1.37	1.76	2.00	3.19
O53_5175_O53_5175	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_5345_O53_5345	51.26	55.59	47.79	45.40	56.09	44.34	97.09	79.30	53.47	49.00	51.84	54.68	47.55	37.04	37.55	41.38	47.37	70.55	15.53	13.51	21.03	24.66	26.44	24.03	28.88	27.96	24.20	25.65	44.74	34.52	33.13	28.40	26.35	24.76	28.84	34.32
O53_411_O53_411	6.29	0.00	0.00	0.00	5.84	0.00	0.00	29.51	0.00	0.00	0.00	25.89	4.47	5.18	8.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.54	25.20	9.67	52.46	23.99	0.00	0.00	0.00	0.00	10.76	0.00	7.13
O53_1283_srpM	1.77	2.53	1.39	3.03	1.39	3.09	2.72	2.31	4.31	4.24	5.31	3.97	13.00	19.14	22.01	11.76	6.62	6.44	6.34	2.15	14.29	23.48	9.31	77.66	9.24	15.42	8.39	25.47	4.11	7.75	1.71	6.12	1.95	5.25	6.09	10.42
O53_903_O53_903	11.24	11.89	13.10	15.09	14.47	16.80	39.04	35.52	30.84	26.35	31.13	29.96	33.04	21.45	24.86	25.48	26.44	34.33	27.68	12.95	26.58	17.13	25.17	32.53	22.19	29.64	21.88	23.62	45.63	32.64	21.54	21.64	23.59	22.94	22.50	21.14
O53_5045_cysM	24.51	28.00	13.42	19.28	22.64	19.63	23.29	23.24	19.05	14.22	25.24	26.85	39.40	29.36	29.05	24.24	17.54	24.31	45.37	52.18	31.49	41.35	38.70	52.13	70.53	76.23	36.48	50.44	44.58	39.48	26.60	25.30	26.93	26.36	28.04	27.00
O53_150_O53_150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_4839_O53_4839	74.21	85.98	81.03	58.12	91.13	88.79	85.33	84.92	76.69	74.41	79.14	87.55	118.79	61.48	70.30	113.85	58.59	76.45	113.08	109.18	57.35	64.59	107.88	93.89	124.60	122.01	90.40	99.63	109.24	79.97	88.01	74.39	75.57	71.13	74.49	101.68
O53_2696_petF	5642.84	6142.99	6585.09	6883.32	6631.76	8113.28	3557.92	3560.26	2949.01	4586.09	4370.33	4242.41	9385.68	6070.57	8856.26	9215.32	5392.95	6880.98	13438.91	9421.10	9684.30	8336.13	15011.73	9757.70	8939.60	7169.78	7381.09	7179.19	6738.23	5627.45	8760.73	7655.96	6376.37	5101.86	5878.42	5372.70
O53_4065_O53_4065	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_2944_O53_2944	35.65	22.56	16.07	20.66	15.48	28.76	34.87	38.05	24.66	18.46	20.39	19.73	23.51	28.86	34.50	28.90	15.52	29.54	23.33	26.17	14.00	15.49	27.20	22.09	32.72	30.94	15.93	21.25	27.37	28.22	18.01	18.62	24.50	7.55	9.02	18.63
O53_1331_O53_1331	26.22	0.00	0.00	0.00	0.00	0.00	23.76	0.00	16.88	0.00	33.26	32.59	44.92	29.38	42.49	32.55	29.87	57.42	15.96	0.00	20.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.67
O53_3097_O53_3097	0.37	0.38	1.39	0.93	0.41	1.07	0.00	0.81	2.27	2.61	1.88	2.28	1.74	1.24	2.37	1.71	2.96	0.30	2.26	2.03	0.76	0.28	0.51	0.86	2.35	0.18	0.00	2.05	0.69	0.50	0.85	0.00	1.27	0.12	1.53	1.58
O53_4983_O53_4983	143.74	119.83	81.31	94.13	105.05	90.79	262.85	218.77	177.86	176.50	233.38	215.32	152.64	102.58	154.18	115.42	109.95	109.91	89.81	86.75	98.34	113.15	87.03	74.66	99.94	88.80	94.72	95.47	145.30	99.52	96.00	96.55	88.82	79.57	80.60	89.72
O53_2042_O53_2042	240.14	294.98	144.02	151.66	244.63	278.15	293.00	225.40	377.17	378.20	388.86	429.49	404.14	210.49	393.53	369.30	406.80	221.07	261.48	154.17	162.79	198.25	196.76	136.52	199.96	187.03	197.95	257.18	209.62	157.45	114.57	145.81	170.05	150.81	257.43	355.86
O53_4809_O53_4809	37.65	39.37	37.78	41.74	43.12	48.89	34.62	32.02	35.31	29.10	34.11	35.67	34.90	24.68	30.53	36.01	36.35	59.72	14.46	20.28	13.93	11.39	17.59	10.69	19.25	16.26	11.83	12.41	25.61	16.77	24.48	15.96	24.29	20.62	34.76	36.23
O53_1275_rnhB	56.03	66.95	68.25	57.11	79.92	78.19	108.67	113.31	88.86	94.44	115.88	139.94	88.38	57.43	100.88	126.97	101.64	65.66	108.14	107.92	63.20	74.79	110.60	109.99	122.95	137.69	96.30	87.24	91.78	60.31	75.30	88.53	74.05	81.00	146.51	153.24
O53_4506_dnaA	9.44	9.63	23.14	27.15	47.08	76.76	28.72	30.92	22.25	21.94	30.07	34.66	15.00	14.38	57.93	119.02	214.19	157.02	4.80	7.54	9.00	9.61	42.58	40.42	17.64	20.41	26.95	21.13	64.11	43.52	9.93	9.10	61.91	44.24	178.06	190.04
O53_2478_O53_2478	14.75	0.00	0.00	0.00	8.39	0.00	4.49	4.70	0.00	3.13	1.40	1.18	3.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.64	0.00	0.00	0.00	3.65	0.00	0.00	0.00	1.78	5.70	3.39	5.51
O53_5305_O53_5305	12.11	10.18	9.10	10.03	9.32	12.44	7.63	11.91	5.56	6.77	5.45	5.58	17.79	18.06	24.73	11.54	5.92	13.64	8.17	9.68	10.12	5.74	6.74	9.97	8.28	7.50	7.09	11.98	11.30	8.85	15.21	13.80	9.84	11.74	11.99	6.16
O53_3315_O53_3315	7.72	6.69	2.76	2.16	2.19	3.27	8.32	4.76	5.61	7.01	9.63	7.36	8.25	8.68	14.89	3.58	1.02	5.54	4.51	0.97	3.87	2.94	4.10	3.11	5.38	4.81	4.31	7.86	8.94	4.46	3.61	5.47	0.56	1.97	5.07	4.61
O53_1324_fbt	287.32	243.46	199.78	206.81	255.34	154.63	528.83	497.01	452.36	463.14	465.13	455.25	182.14	62.03	77.80	93.22	184.18	259.64	75.71	110.17	101.68	100.51	112.44	94.46	102.55	93.42	116.00	111.08	169.57	147.31	185.07	179.62	154.95	131.58	106.97	91.78
O53_5126_O53_5126	0.00	15.81	8.86	20.84	41.29	65.93	0.00	17.37	8.07	8.93	3.96	11.43	24.32	48.27	89.67	14.07	12.97	43.62	0.00	0.00	23.39	8.85	0.00	0.00	0.00	8.20	19.14	0.00	2.51	2.41	0.00	0.00	4.85	5.35	35.01	24.44
O53_4732_O53_4732	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_1424_ilvC	787.44	794.64	803.92	873.65	775.37	770.94	584.28	518.35	393.43	436.81	300.81	308.66	761.49	420.92	587.21	647.12	284.08	348.83	750.47	633.80	749.91	760.27	618.75	520.66	703.39	664.02	714.25	733.30	441.66	382.68	733.89	671.92	550.93	512.28	466.37	554.55
O53_3327_O53_3327	2.44	1.24	0.00	0.95	2.26	0.75	5.19	1.51	4.92	0.93	7.24	5.17	4.30	4.94	6.77	2.53	0.00	2.89	0.37	5.61	1.66	1.36	0.42	2.02	1.94	0.00	1.89	1.11	2.69	1.42	0.00	0.00	0.00	0.20	0.21	0.36
O53_1024_O53_1024	30.10	38.19	29.00	32.13	32.46	34.62	42.26	34.65	33.45	26.96	27.68	30.66	47.54	34.75	35.74	34.21	22.34	36.65	30.33	21.61	21.53	18.26	27.31	38.36	43.68	52.63	30.49	35.22	25.95	26.98	19.83	16.41	19.26	19.10	24.11	31.71
O53_4861_O53_4861	160.28	157.02	76.31	69.88	92.13	86.75	276.89	229.41	61.25	20.13	29.36	30.75	79.58	73.75	78.08	24.44	31.45	15.40	91.34	56.13	67.87	83.82	100.62	76.66	162.92	174.33	109.83	98.34	166.11	148.54	175.16	141.36	57.71	98.55	44.34	53.53
O53_537_O53_537	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_1210_O53_1210	449.83	600.29	685.90	722.06	757.00	742.12	145.35	125.59	150.38	128.59	131.42	169.11	1136.77	206.19	157.92	616.14	426.78	450.59	281.80	298.49	276.80	320.06	961.32	755.63	636.27	609.00	726.86	737.49	640.32	551.13	587.13	722.52	857.46	952.69	1252.03	1329.16
O53_1238_O53_1238	3.11	3.13	0.44	0.00	1.85	2.34	2.37	0.44	0.00	0.00	1.26	0.51	2.05	5.70	1.25	0.00	0.00	0.84	0.21	5.11	0.00	2.39	0.74	2.59	1.95	1.39	0.00	3.45	1.82	1.42	1.30	1.16	0.27	1.42	0.96	1.05
O53_2683_O53_2683	12.41	17.60	5.46	8.46	22.12	8.74	22.38	9.87	18.70	15.34	15.52	18.98	16.05	3.98	14.58	16.31	0.00	2.04	3.55	0.00	13.52	0.00	1.06	12.13	15.96	9.42	3.79	5.31	6.33	5.96	11.21	10.55	1.05	10.51	20.57	9.72
O53_2470_O53_2470	0.04	0.00	0.00	0.00	0.13	0.30	0.19	0.38	0.56	0.36	0.34	0.63	0.31	0.84	0.68	0.52	0.21	0.15	0.15	0.00	0.00	0.00	0.04	0.08	0.16	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.08	0.25	0.15
O53_4360_O53_4360	13.99	19.88	24.41	24.09	27.24	27.50	5.30	2.86	4.16	2.52	3.36	4.01	12.96	30.12	37.44	15.19	3.81	9.66	10.20	4.30	4.63	2.85	9.90	5.29	14.80	10.29	5.89	4.73	6.92	2.97	9.43	7.61	11.23	9.49	15.25	12.90
O53_2924_thrC	118.89	154.01	259.12	241.12	325.09	367.33	93.42	90.71	158.26	142.68	111.17	137.04	703.24	282.76	421.28	659.50	723.90	271.85	848.78	511.54	711.93	757.01	857.56	1135.90	894.66	1050.15	860.37	952.03	482.54	536.34	415.06	504.98	660.98	682.49	1016.85	1056.56
O53_386_O53_386	54.52	84.31	19.29	8.06	40.90	46.23	175.21	132.53	27.87	53.86	10.26	9.95	5.72	5.03	8.57	12.37	0.00	18.19	5.62	0.00	0.00	20.42	25.68	13.22	12.91	31.81	8.28	11.35	32.92	12.63	21.34	36.46	10.66	2.32	0.00	0.00
O53_167_O53_167	0.63	0.91	1.40	0.42	1.76	2.41	2.18	0.75	1.88	1.41	4.68	4.34	3.20	9.16	17.46	2.97	2.78	1.18	1.46	1.52	0.61	0.77	1.13	0.89	1.34	0.50	0.84	0.46	0.89	1.15	0.07	0.51	0.80	0.44	2.43	4.19
O53_3869_O53_3869	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_426_O53_426	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_564_O53_564	20.42	21.04	18.48	17.03	20.72	16.23	17.36	14.48	8.31	4.50	11.32	11.92	15.68	15.01	13.49	7.17	2.88	8.93	4.28	3.40	2.64	2.22	5.53	3.23	5.63	6.28	4.51	6.47	3.26	5.29	5.01	2.25	1.05	2.81	5.60	2.53
