geneID	Acir.mT19_11-3-1-1	Acir.mT19_11-3-1-2	Acir.mT19_11-3-2-1	Acir.mT19_11-3-2-2	Acir.mT19_11-3-3-1	Acir.mT19_11-3-3-2	Acir.mT19_12-4-1-1	Acir.mT19_12-4-1-2	Acir.mT19_12-4-2-1	Acir.mT19_12-4-2-2	Acir.mT19_12-4-3-1	Acir.mT19_12-4-3-2	Acir.mT19_6-15-1-1	Acir.mT19_6-15-1-2	Acir.mT19_6-15-2-1	Acir.mT19_6-15-2-2	Acir.mT19_6-15-3-1	Acir.mT19_6-15-3-2	Acir.mT19_7-23-1-1	Acir.mT19_7-23-1-2	Acir.mT19_7-23-2-1	Acir.mT19_7-23-2-2	Acir.mT19_7-23-3-1	Acir.mT19_7-23-3-2	Acir.mT19_9-10-1-1	Acir.mT19_9-10-1-2	Acir.mT19_9-10-2-1	Acir.mT19_9-10-2-2	Acir.mT19_9-10-3-1	Acir.mT19_9-10-3-2	Acir.mT19_9-29-1-1	Acir.mT19_9-29-1-2	Acir.mT19_9-29-2-1	Acir.mT19_9-29-2-2	Acir.mT19_9-29-3-1	Acir.mT19_9-29-3-2
ACIR310F_RS0100640_ACIR310F_RS0100640	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0100220_ppk1	104.94	0.00	106.74	0.00	27.57	35.42	0.00	394.62	47.69	29.74	69.67	89.45	140.17	0.00	0.00	0.00	0.00	49.84	0.00	0.00	38.40	30.00	39.32	25.66	41.63	65.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0108615_ACIR310F_RS0108615	1907.55	0.00	0.00	997.60	163.72	577.59	0.00	0.00	390.92	1371.20	912.23	506.59	912.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	119.61	173.13	399.75	0.00	705.43	146.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS27200_ACIR310F_RS27200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS24120_ssrS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0104155_groL	1007.20	2997.03	2732.50	920.70	1299.01	1409.96	3257.11	1941.43	5647.90	8334.82	9630.42	9888.65	3336.10	42.33	67.83	2918.14	0.00	727.48	1597.25	1519.67	3149.49	2397.01	8087.53	7103.16	5244.66	4097.93	3298.94	2869.76	0.00	284.86	59.21	0.00	492.58	232.15	0.00	362.48
ACIR310F_RS0113525_ACIR310F_RS0113525	0.00	0.00	0.00	0.00	76.77	88.03	0.00	0.00	42.87	56.01	128.53	140.97	0.00	0.00	0.00	0.00	0.00	88.40	0.00	0.00	27.57	82.93	71.50	0.00	38.94	40.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0120055_ACIR310F_RS0120055	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS22130_ACIR310F_RS22130	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS21075_ACIR310F_RS21075	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0109135_ACIR310F_RS0109135	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.62	11.31	2.75	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.25	13.64	8.25	0.00	0.00	27.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0108000_ACIR310F_RS0108000	0.00	0.00	0.00	323.15	172.11	79.38	110.96	0.00	138.52	49.74	162.75	105.96	116.53	0.00	0.00	0.00	0.00	212.47	0.00	0.00	88.57	73.24	54.17	42.35	52.10	309.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0112840_ACIR310F_RS0112840	226.51	0.00	0.00	0.00	35.90	26.85	0.00	0.00	49.79	77.74	117.94	77.45	0.00	0.00	0.00	0.00	0.00	156.79	245.88	0.00	60.27	46.80	56.59	18.44	60.35	110.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0119745_tsaE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.32	13.61	13.81	440.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	66.74	0.00	0.00	656.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS27335_ACIR310F_RS27335	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0116345_ACIR310F_RS0116345	0.00	0.00	0.00	0.00	5.28	3.38	0.00	0.00	21.94	3.81	16.64	17.46	89.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.08	22.93	0.00	16.28	13.30	13.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS22055_ACIR310F_RS22055	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	155.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0109050_ACIR310F_RS0109050	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	36.78	12.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	554.46	1332.21	281.20	542.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0119845_ACIR310F_RS0119845	0.00	0.00	0.00	0.00	19.80	12.66	0.00	0.00	61.96	21.54	25.97	48.68	0.00	0.00	0.00	0.00	0.00	174.39	402.38	0.00	60.21	55.80	46.52	211.88	0.00	0.00	975.64	262.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0108290_crcB	0.00	0.00	0.00	0.00	30.62	0.00	0.00	0.00	0.00	0.00	0.00	8.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0105565_ACIR310F_RS0105565	0.00	0.00	0.00	0.00	0.00	67.85	0.00	0.00	18.53	9.68	41.78	90.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.35	5.75	0.00	40.36	33.67	140.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS22715_ACIR310F_RS22715	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS25575_ACIR310F_RS25575	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.72	0.00	68.31	68.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
