"","mT19_11.3.1","mT19_11.3.2","mT19_11.3.3","mT19_12.4.1","mT19_12.4.2","mT19_12.4.3","mT19_6.15.1","mT19_6.15.2","mT19_6.15.3","mT19_7.23.1","mT19_7.23.2","mT19_7.23.3","mT19_9.10.1","mT19_9.10.2","mT19_9.10.3","mT19_9.29.1","mT19_9.29.2","mT19_9.29.3"
"O53_650_O53_650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2284_hisS",35.98,33,37.09,51.52,32.38,36.64,50.94,48.94,25.79,19.61,17.25,18.63,22.13,19.17,16.97,25.83,21.52,26.53
"O53_4408_secD",361.53,356.69,310.57,250.31,225.91,239.65,249.33,231.04,160.51,322,209.65,239.47,285.47,209.95,152.55,208.36,186.52,189.65
"O53_5149_pepN",39.6,29.67,33.99,53.28,33.6,40.81,50.03,36.01,26.49,21.86,17.8,13.32,16.65,12.72,19.16,20.51,16.18,22.31
"O53_1783_O53_1783",218.09,26.91,27.75,71.85,62.32,15.48,58.26,40.34,7.32,34.59,29.07,44.6,138.34,115.21,100.7,103.62,46.05,38.17
"O53_1585_O53_1585",279.42,83.56,80.8,1021.02,814.93,825.81,102.38,66.56,100.92,182.96,334.37,221.31,315.63,433.62,397.19,133.73,87.74,107.02
"O53_5207_O53_5207",275.33,288.75,508.23,251.09,195.24,348.39,181.68,458.48,1077.26,133.21,194.87,243.27,89.7,195.44,201.32,113.93,212.11,886.14
"O53_3391_sphX-1",43.91,50.71,79.93,52.26,18.88,6.44,30.87,343.95,183.16,49.79,81.44,92.36,36.48,46.83,35.51,24.92,38.9,51.34
"O53_3698_O53_3698",62.82,38.5,47.12,123.49,80.69,124.97,109.44,120.19,73.84,32.3,13.04,23.57,12.93,23.45,30.95,13.67,31.5,69.74
"O53_4968_dnaX",25.29,20.42,26.24,35.45,20.13,16.11,22.1,28.66,27.56,25.78,24.61,28.02,34.03,26.24,31.72,25.48,24.6,30.37
"O53_1671_O53_1671",0.71,0.24,0.72,0.33,1.53,2.57,5.69,3.72,6.04,4.61,0.58,1.37,0.5,0.81,0.57,0,1.47,0.91
"O53_2905_psbH",484.54,467.01,585.67,585.68,572.78,631.86,489.67,494.92,294.49,259.55,431.22,179.12,294.15,80.36,478.75,176.48,278.11,394.87
"O53_1313_ilvB",969.34,1241.9,1384.74,2165.77,1520.06,1843.01,1871.74,2028.39,3056.36,1345.27,1336.24,1462.32,1056.52,1011.84,1778.41,1464.31,1695.53,3485.74
"O53_1325_glnN",287.29,137.67,193.22,463.56,350.4,470.32,150.6,172,1186.78,222.24,286.56,552.84,343.49,151.55,624.64,328.06,409.61,574.43
"O53_442_clpC",1587.95,1563.26,1995.52,3724.23,2234.25,3310.59,1993.71,2708.41,3385.82,1863.29,2233.39,2324.31,2567.39,2550.55,3123.62,2603.75,3189.39,3389.43
"O53_3044_O53_3044",10.54,5.69,8.72,8.77,4.2,6.45,13.57,7.87,2.53,2.27,1.76,2.57,4.7,3.26,2.63,2.48,1.61,1.97
"O53_3343_O53_3343",21.03,17.46,9.06,48.65,17.81,38.15,10.81,13.41,8.54,5.41,6.41,12.78,9.92,6.68,9.77,6.61,14.03,16.3
"O53_3432_O53_3432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0
"O53_3843_O53_3843",201.46,174.38,235.07,213.9,190.62,268.38,231.61,161.03,275.02,123.55,125.48,157.88,129.04,130.47,170.31,157.75,139.78,204.57
"O53_4048_O53_4048",28.45,32.71,41.56,50.31,30.23,31.62,140.16,236.26,56.57,29.36,25.5,29.71,71.23,60.64,44.73,103.64,88.11,134.8
"O53_1868_O53_1868",17.76,19.77,23.94,25.03,25.54,31.52,38.53,32.89,22.57,17.31,15.82,28.61,22.51,7.12,13.58,9.61,7.09,24.01
"O53_823_dmtB",4.72,6.37,5.23,11.71,4.39,3.1,5.84,5.29,2.85,1.99,7.16,14.29,9.66,6.49,12.57,8.47,4.94,2.24
"O53_5368_O53_5368",6.83,4.18,5.69,11.66,5.14,8.96,12.32,9.81,5.64,5.02,2.45,4.95,5.85,3.24,5,3.26,1.56,4.31
"O53_643_O53_643",54.08,48.1,59.59,92.06,86.89,90.74,38.83,59.54,65.28,46.9,33.39,60.18,50.32,63.85,51.7,45.48,31.97,37.62
"O53_3202_livH",46.62,42.19,36.99,53.08,32.15,26.65,35.79,29.88,29.72,33.28,26.84,26.42,31.62,21.52,32.36,36.1,19,19.71
"O53_4394_O53_4394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4195_O53_4195",90.42,81.04,78.63,146.6,114.4,92.96,69.65,72.39,30.92,133.26,87.48,110.88,205.66,131.6,124.77,70.01,58.85,63.49
"O53_466_cbbS",2861.6,2629.65,2255.43,1206.59,639.71,630.23,2162.24,1570.06,379.14,2199.34,1658.66,1813.93,1901.86,859.49,547.61,866.7,662.05,560.74
"O53_3669_O53_3669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3376_phaC",116.45,142.46,264.33,125.47,110.76,154.4,55.2,86.28,364.64,39.88,55.14,101.39,67.61,64.14,123.15,50.16,81.34,244.26
"O53_244_O53_244",290.19,255.22,332.73,1095.45,862.22,1229.8,243.36,369.26,520.69,215.06,226.32,190.96,192.64,192.46,249.61,109.15,196.11,391.81
"O53_1614_ccmL",2610.77,2034.35,1770.11,1069.76,1526.36,1127.62,2628.86,2170.78,740.07,2618.04,2167.47,1548.57,1834.34,1451.85,600.37,910.15,1067.94,1807.38
"O53_2523_O53_2523",7.86,0,15.59,0,10.22,0,11.77,0,0,0,0,0,0,0,0,25.82,0,8.67
"O53_3751_tatC",72.3,89.66,128.81,275.12,211.82,210.2,181.55,208.84,241.5,175.92,141.16,120.01,124.17,98.76,145.76,72.26,111.18,211.13
"O53_2536_O53_2536",103.35,110.48,130.23,299.98,279.03,299.74,133.16,190.17,148.98,172.27,145.37,168.98,187.41,138.22,221.63,175.98,144.22,195.87
"O53_1273_O53_1273",17.63,20.04,43.64,69.75,89.23,121.25,71.33,81.61,105.46,24.45,33.4,23.11,6.32,19.22,22.16,0.32,15.75,64
"O53_3970_bchN",32.86,57.65,86.66,32.2,20.34,29.49,175.71,168.2,55.39,59.25,28.08,36.75,67.07,27.71,38.85,23.62,30.45,89.56
"O53_2953_O53_2953",0,0,0,0,0,0,0.11,0.56,0,0,0,0,0,0,0,0,0,0
"O53_2739_O53_2739",204.25,80.87,214.94,238.57,188.77,224.47,164.71,81.26,385.66,183.39,123.83,81.4,91.31,113.23,211.15,184.48,244.53,354.46
"O53_876_O53_876",1.69,4.19,8.4,9.85,3.3,11.65,26.57,35.51,32.11,13.2,7.89,35.05,6.49,3.14,15.5,2.75,8.06,21.21
"O53_5067_O53_5067",0,0,0,0,0,4.47,0,3.2,3.06,0,0,0,10.33,0,0,4.83,0,0
"O53_3616_O53_3616",0.5,1.44,1.24,0,0.36,0,0.02,0,0,0,0,0,1.23,1.11,0,0.1,0.58,0
"O53_2836_O53_2836",5.9,0.99,6.57,20.91,12.65,44.12,9.87,34.36,6.63,0,7.25,14.52,4.78,17.68,6.9,6.45,22.95,24.4
"O53_3847_O53_3847",2.83,5.41,4.03,1.85,5.56,3.91,2.48,9.58,8.05,0,3.08,2.05,0,1.85,0,0,0.76,0.52
"O53_5296_ftsH",23.43,23.28,35.42,14.84,7.21,9.9,37.09,43,21.46,15.73,17.53,20.06,30.61,29.9,25.41,27.11,19.4,28.17
"O53_1689_cofH",53.34,42.92,36.89,59.04,36.07,34.02,57.26,59.87,16.46,39.75,36.49,28.34,55.58,46.4,36.4,35.61,30.35,36.57
"O53_2469_O53_2469",1.79,0,0.78,0,1.61,4.32,1.66,2.16,4.64,5.82,0,2.86,0,0,0,0,0,0
"O53_2360_O53_2360",9.23,4.96,8.58,2.21,2.52,6.85,25.72,26,6.55,5.05,3.29,3.23,7.34,4.33,8.17,5.92,3.13,5.19
"O53_845_glyA",926.74,693.56,1016.94,615.05,553.06,738.89,873.1,1154.83,1114.17,1203.16,1407.28,1605.51,1839.79,1517.1,1571.46,1210.68,1328.26,1353.53
"O53_1018_pstB-1",50.53,38.9,42.11,73.46,35.75,31.45,44.26,27.42,19.86,25.21,21.89,27.93,32.57,18.62,16.72,20.94,19.06,17.95
"O53_4787_ndk",402.63,461.22,360.66,252.54,214.33,163.72,284.12,197.32,100.05,515.83,354.55,410.08,470.58,295.07,234.12,426.11,292.3,211.28
"O53_1200_O53_1200",7.21,2.76,3.49,9.46,1.16,2.27,3.14,3.25,3.19,2.7,2.61,0,3.34,0,3.77,1.05,0.81,0
"O53_3938_O53_3938",34.49,20.39,24.65,44.25,6.32,3.56,8.57,2.01,2.59,3.52,1.64,2.3,14.32,9.96,11.21,18.07,4.79,4.75
"O53_2657_O53_2657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1532_O53_1532",11.19,11.67,18.06,39.81,51.52,61.33,31.64,30.62,38.05,8.5,10.52,5.88,2.14,9.31,4.41,0.32,6.48,22.74
"O53_2487_O53_2487",478.06,432.83,363.86,539.2,307.15,219.61,191.38,178.09,116.48,176.17,186.49,191.49,233.27,163.94,189.63,238.58,235.17,174.32
"O53_2954_O53_2954",0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0
"O53_3197_O53_3197",1.99,8.85,0,1.59,3.04,0,1.66,11.4,0,13.19,6.18,9.64,0,0,5.56,0,0,0
"O53_432_O53_432",10,3.42,3.47,6.47,2.21,0.53,3.6,0.83,0,0,0,11.88,12.44,0,0.89,6.02,3.02,2.34
"O53_1633_abrB-1",5295.98,5866.48,6448.82,3055.25,2688.49,2050.88,3605.76,4174.87,1789.68,4225.77,3844.18,4400.96,6235.28,4435.54,3958.86,3851.44,3182.73,1937.28
"O53_733_msrA",104.08,84.07,97.68,233.16,87.02,69.25,114.9,86.2,55.58,144.35,82.52,175.85,186.07,171.69,181.97,151.73,179.2,98.75
"O53_32_carA",452.53,567.2,950.51,946.31,1102.25,1485.99,203.86,566.86,2319.39,224.71,327.52,597.8,264.37,493.57,558.68,208.12,530.89,1650
"O53_939_O53_939",7.88,9.91,7.85,17.2,16.26,14.06,12.59,23.63,17.25,37.28,74.9,150.27,23.24,73.53,14.47,15.29,19,18.59
"O53_3256_O53_3256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3523_pstB-2",28,39.2,38.76,26.23,29.29,23.84,30.01,52.06,38.18,14.74,16.63,18.48,10.05,12.35,13.01,10.42,13.37,26.38
"O53_1938_O53_1938",3.26,1.99,3.5,23.05,5.15,3.02,5.34,2.65,4.09,1.51,1.53,4.1,1.07,1.04,1.68,1.13,0.56,0.99
"O53_5048_hypX",1.3,1.71,3.91,2.78,2.71,5.01,8.2,9.68,6.32,1.08,0.96,1.49,0.72,0.61,1.44,0.36,1.33,2.95
"O53_4797_O53_4797",410.23,330.6,352.1,686.6,349.75,384.86,519.14,520.63,249.63,301.21,318.42,327.2,493.94,383.03,339.39,446.88,309.41,372.79
"O53_5265_O53_5265",5.25,14.45,2.74,15.55,12.02,1.52,0,4.55,0,0,0,0,0,0,13.51,6.54,0,0
"O53_1610_plsX",242.79,188.93,153.99,189.39,129.44,183.72,377.18,286.49,165.47,201.16,102.05,81.59,111.5,86.28,113.22,152.54,120.96,104.18
"O53_2619_O53_2619",1.96,4.27,6.35,15.53,16.32,18.68,27.25,31.28,17.36,10.52,18.67,10.49,3.01,7.96,6.2,0.51,6.68,18.73
"O53_3585_O53_3585",237.41,305.36,422.02,3424.75,2544.58,2774.77,458.56,520.82,1009.69,254.07,311.8,338.17,150.16,135.25,292.44,178.78,219.7,727.36
"O53_2561_O53_2561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4029_O53_4029",1.03,0,1.88,0,2.46,0.78,8.46,0.63,3.9,0,0,0,0.71,0,0,0,0,6.77
"O53_4860_O53_4860",117.34,0,0,78,55.21,168.09,116.69,26.18,0,111.64,0,0,220.69,0,0,0,0,0
"O53_1065_O53_1065",124.85,84.16,84.52,194.16,170.12,174.64,77.85,59.81,56.04,35.74,25.27,30.18,38.6,32.25,48.57,46.66,42.59,48.39
"O53_4607_O53_4607",1530.22,2381.71,2758.04,3492.97,4455.84,4956.36,3394.92,2364.77,2143.3,1978.33,1862.69,1735.02,1829.37,1717.74,1237.46,1196.42,1133.33,3066.1
"O53_4194_psbO",1736.49,1952.75,1408.37,1178.89,937.44,515.15,2100.51,1948.91,951.71,2462.18,1950.73,1763.94,1883.89,1456.06,1274.44,1713.71,1542.39,1415.07
"O53_4872_O53_4872",3.08,1.64,2.39,4.13,3.14,3.31,3.99,4.35,5.48,5.05,2.64,2.22,3.6,1.74,3.7,1.9,1.84,4.58
"O53_1240_O53_1240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3052_argF",279.93,276.3,389.44,552.32,474.78,591.43,262.27,302.9,428.94,234.64,219.91,310.37,354.86,348.23,367.85,230.69,274.14,396.46
"O53_3724_O53_3724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_5253_O53_5253",228.1,153.81,141.32,84.77,36.7,51.34,324.78,207.07,19.16,165.73,137.14,92.33,151.47,80.12,61.71,163.23,84.99,50.77
"O53_1450_proB",26.95,23.82,33.4,40.83,28.36,38.81,21.73,35.37,28.95,16.73,21.36,22.67,24.89,16.73,18.68,25.33,19.45,37.15
"O53_3253_cpmA",197.78,189.22,290.43,843.88,619.33,1327.76,282.86,432.25,290.24,313.22,376.63,444.8,460.69,520.38,299.62,259.42,409.47,769.69
"O53_1705_degT",147.78,156.83,127.84,111.07,87.2,70.7,101.24,130.66,97.65,105.85,53.24,65.29,101.87,82.37,74.94,99.86,73.6,73.23
"O53_2515_maeA",286.01,283.57,324.92,159.78,132.75,148.29,155.07,255.37,371.77,226.18,238.78,261.13,267.59,272.28,269.65,266.88,318.94,248.56
"O53_4057_O53_4057",3.29,1.66,2.7,5.33,4.42,7.35,5.5,7.06,3.93,1.21,0.96,1.45,1.23,1.17,0.54,0.34,0.57,1.09
"O53_1179_O53_1179",104.6,109.43,163.52,284.54,344.69,293.94,115.86,144.62,144.64,93.19,178.01,154.11,143.4,183.59,173.84,90.11,106.7,138.89
"O53_3302_O53_3302",2.16,2.26,4.35,5.76,3.18,6.46,6.2,11.83,9.63,4.27,1.02,2.77,0.83,5.61,3.53,1.89,2.13,5.64
"O53_3704_O53_3704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4169_tilS",23.06,32.85,32.1,16.51,17.84,12.46,25.57,20.52,19.72,32.6,13.88,26.89,26.38,15.63,21.81,16.19,20.89,21.91
"O53_3937_ntcB",45.68,34.64,52.43,61.59,55.19,52.07,35.85,59.89,117.64,49.27,37.47,45.29,36.53,27.49,56.96,43.35,46.89,44.9
"O53_4684_O53_4684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1092_O53_1092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2702_aroE",65.71,43.19,48.4,98.11,77.82,137.84,46.25,43.33,26.53,64.64,48.31,65.46,98.72,99.39,76.5,84.88,46.12,42.09
"O53_380_recG",20.35,13.72,19.48,26.12,15.55,18.07,30,32.05,14.73,11.42,8.7,13.76,16.39,11.6,15.6,13.39,10.31,11.33
"O53_2268_O53_2268",48.23,47.15,46.92,46.81,35.28,56.55,32.4,35.99,27.22,23.97,26.82,29.17,31.95,30.4,32.55,33.14,32.49,31.55
"O53_1896_O53_1896",194.85,130.65,107.02,162.59,144.9,107.74,168.72,157.51,134.92,102.9,162.68,150.67,308.99,209.31,236.87,224.68,139.29,181.1
"O53_655_O53_655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_462_fusA",35.07,66.79,125.29,75.08,49.36,64.95,112.34,115.41,71.14,48.66,55.09,68.35,93.5,56.09,87.23,44.14,54.96,123.6
"O53_664_O53_664",32.67,28.15,44.79,89.05,98.1,198.38,37.25,33.31,41.87,13.46,7.46,16.41,14.16,15.65,18.76,4.24,9.98,33.65
"O53_4934_O53_4934",0,0,0,0,0,0,11.04,5.4,0,0,0,0,0,0,35.02,0,0,0
"O53_4564_O53_4564",2.23,3.42,3.99,1.32,0.64,0.56,5.36,7.76,7.96,2.53,1.71,0.68,1.25,0.42,0.3,0.38,1,3.88
"O53_1372_O53_1372",1.47,5.09,10.27,0,0,0,0,2.99,0,0,0,1.51,0,0,0,0,0,4.08
"O53_524_O53_524",7.72,5.83,7.5,4.94,3.81,4.93,6.78,5.14,2.97,8.89,4.5,6.36,9.2,4.66,8.53,9.35,4.24,11.05
"O53_858_pgl",164.11,96.65,228.46,104.26,99.36,147.17,176.62,222.52,380.47,63.45,88.5,121.86,117.06,133.51,163.44,108.28,136.87,242.32
"O53_2446_frmA",59.83,43.17,56.2,75.2,58.16,62.63,89.36,92.38,98.21,71.74,72.43,77.03,83.7,87.1,124.38,98.27,79.93,79.42
"O53_5000_O53_5000",2.73,0.84,1.78,3.25,2.75,0.45,4.93,10.22,0,0,2.01,2.96,5.04,4.4,8.13,2.27,6.74,4.33
"O53_3714_O53_3714",9.7,6.1,9.56,11.3,8,8.15,49.79,49.82,16.97,11.25,5.06,8.68,5.61,6.83,7.44,6.95,10,14.25
"O53_2766_O53_2766",20.12,15.98,24.56,24.47,15.69,16.07,19.44,15.1,15.68,7.18,8.13,11.06,15.42,14.2,17.83,9.75,8.65,8.77
"O53_4233_O53_4233",12.65,5.35,12.89,31.31,14.18,22.63,36.04,34.84,13.59,14.2,8.52,13.44,10.76,10.61,14.12,8.33,1.75,22.19
"O53_4145_pmbA",287.59,327.56,667.9,768.45,631.93,973.83,790.11,1085.78,684.19,305.8,405.46,345.29,314.28,394.63,355.07,274.09,545.58,945.27
"O53_291_O53_291",24.26,12.02,28.87,0.15,0.47,4.48,61.12,74.18,25.44,4.75,9.5,28.73,8.36,28.24,18.17,8.34,23.88,72.64
"O53_1994_O53_1994",3.25,4.96,6.58,15.72,16.68,17.64,6.97,12.86,21.88,3.06,8.43,5.15,1.42,6.24,3.91,0.07,2.64,7.14
"O53_3446_O53_3446",75.74,73.53,87.07,152.39,104.42,116.15,63.47,58.59,79.76,19.31,23.43,27.24,36.03,29.58,50.75,47.32,28.17,38.36
"O53_1952_accC",117.55,112.62,108.09,138.48,121.67,125.14,126.35,115.76,57.06,124.93,73.37,75.01,86.61,77.62,59.52,68.73,56.57,98.64
"O53_2964_O53_2964",0,0,7.06,0,0,3.76,7.71,4.48,1.38,0,0,0,0,0,0,0,0,2.72
"O53_1260_O53_1260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1420_O53_1420",811.28,352.83,406.46,591.83,908.69,398.04,273.58,100.17,385.05,121.67,206.31,401.35,492,411.1,409.65,650.06,353.62,303.26
"O53_3720_hhoB",16.18,13.3,16.45,55.8,47.46,77.27,41.94,52.94,40.7,16.15,25.22,26.5,29.52,18.25,30.43,22.87,17.03,33.44
"O53_4425_O53_4425",0.54,0.49,0.27,0.2,0.58,0.99,1.1,0.73,0.74,0.32,0.04,0,0.11,0.21,0,0.05,0.08,0.3
"O53_70_holB",18.45,8.87,28.3,23.03,19.77,21.25,36.19,63.72,31.08,16.44,10.93,15.76,17.53,17.34,23.5,10.8,15.95,28.78
"O53_3111_O53_3111",15.24,10.08,11.91,17.85,11.7,15.21,11.49,17.82,9.6,7.01,5.42,6.93,9.87,7.11,6.77,4.41,6.54,6.73
"O53_944_trpS",114.7,80.01,87.06,153.29,73.47,83.89,108.09,106.84,60.19,65.02,55.58,64.45,78.42,60.43,68.04,61.56,49.9,59.16
"O53_2333_O53_2333",2.22,4.5,10.29,2.09,2.94,1.85,10.86,13.42,11.6,3.77,1.24,2.55,0.76,0.65,2.21,0.53,1.07,3.89
"O53_2223_O53_2223",18.29,47.82,40.05,14,7.51,5.33,0,0,0,0,19.56,50.28,0,0,3.89,5.77,15.22,64.62
"O53_2097_O53_2097",48.32,0,0,0,0,0,34.63,0,0,0,0,0,0,0,0,0,0,0
"O53_1765_O53_1765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2502_O53_2502",51.38,42.89,53,38.64,19.83,16.45,63.04,51.95,89.02,78.7,155.48,176.04,219.27,129.63,235.04,147.23,169.27,63.3
"O53_389_O53_389",17.58,12.92,23.69,56.52,24.44,30.02,38.23,37.61,15.75,28.97,14.55,38.84,57.47,27.98,42.63,23.68,25.21,39.97
"O53_17_O53_17",0,0,0,0,0,0,0.57,0.8,0,0,0.73,0,0,0,0,0,0.53,0.21
"O53_2471_rplK",1674.13,1822.41,2359.57,1517.26,1053.01,1745.98,2236.28,3322.48,1304.94,3386.14,3634.85,2867.73,3321.57,3900.91,1800.03,1980.95,2471.98,3020.42
"O53_437_O53_437",321.6,239.78,132.37,271.51,170.8,171.32,385.71,129.47,77.17,175.39,95.6,83.64,140.24,60.61,134.05,224.06,112.08,65.94
"O53_4434_O53_4434",28.38,17.82,20.35,22.65,13.37,10.82,22.18,26.48,7.68,16.1,17.61,11.81,18.74,13.54,15.75,7.68,19,7.57
"O53_1338_O53_1338",7.92,7.94,25.01,18.11,25.48,32.67,38.11,35.24,62.67,1.02,11.35,10.94,5.37,4.78,7.64,2.91,4.43,58.19
"O53_1741_O53_1741",0,0,0,0,0,0,0.18,0,0,0,0,0.43,0,0,0,0,0,0
"O53_117_O53_117",96.44,79.36,85.23,170.87,158.09,175.06,165.12,175.43,169.45,107.29,120.23,113.35,128.83,112.04,139.05,149.46,193.75,177.93
"O53_1344_aerG1",2.47,3.05,5.97,1.1,1.08,1.75,7.55,7.73,5.68,0.81,0.84,1.72,0.3,0.07,0.25,0.29,0.2,0.62
"O53_1514_bvdR",99.07,98.23,99.16,59.14,53.31,61.74,125.03,132.14,101.73,117.81,76.72,204.2,167.16,154.83,137.82,151.6,189.93,215.62
"O53_4751_csd",195.2,161.83,150.03,187.31,104.4,161.35,131.49,113.38,90.04,100.7,66.95,106.4,114.11,86.57,94.46,132.6,88.97,100.28
"O53_543_O53_543",3.08,0,0,4.8,0,0,5.83,13.69,0,0,0,0,0,22.35,0,0,0,0
"O53_4419_O53_4419",7.02,8.25,11.8,8.75,17.54,12.43,20.35,21.92,19.7,6.99,2.83,4.35,2.17,2.31,2.78,3.65,2.77,2.64
"O53_275_O53_275",63.83,38.36,30.32,26.7,18.19,17.96,32.32,51.32,26.16,31.97,37.74,53.34,60.14,53.34,24.48,52.31,36.25,29.21
"O53_3491_O53_3491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_5244_O53_5244",16.56,13.91,25.51,32.02,60.43,55.11,37.61,38.31,44.99,9.77,11.6,12,3.47,8.23,7.45,0.19,6.22,22.88
"O53_47_O53_47",0,0,4.02,0,0,0.68,4.56,1.21,0,0,0,0,0,5.8,0,0,0,0
"O53_1243_O53_1243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3384_ggt",0,0,0,0,0,0,0,0,0,0,0,0,17.22,0,0,0,0,0
"O53_706_sdhB",141.8,192.83,370.67,336.49,474.46,630.54,234.2,294.69,584.3,111.58,149.45,165.12,129.96,119.64,167.59,98.12,162.21,383.23
"O53_2062_O53_2062",17.11,17.78,17.79,52.39,20.35,13.24,21.08,22.69,30.91,59.09,24.56,42.66,32.1,21.66,31.38,28.39,34.81,21.75
"O53_4470_O53_4470",4.35,4.73,4.65,1.12,0.53,1.44,4.59,5.22,2.83,0,1.24,2.82,3.35,3.79,2.95,2.8,0.91,1.27
"O53_2648_O53_2648",5.31,1.56,7.08,11.3,9.82,13.02,19.08,18.83,10.69,4.64,14.63,12.99,17.25,15.55,30.33,18.98,6.67,14.72
"O53_2267_O53_2267",17.92,13.27,28.15,91.36,120.31,150.93,20.35,47.37,33.61,13.82,21.76,32.87,52.63,28.36,34.7,14.33,34.21,62.38
"O53_4831_O53_4831",69.39,60.6,133.75,20.72,21.66,39.94,138.2,159.91,84.35,48.48,27.59,42.41,77.65,41.44,45.58,34.77,55.56,81.26
"O53_1029_cysA",29,31.32,33,74.06,60.15,49.09,34.89,54.12,42.98,48.71,62.26,101.37,65.61,93.57,44.84,16.79,36.69,49.61
"O53_1743_ddpX",30.6,27.96,35.03,68.12,50.4,55.69,19.91,39.72,14.16,30.01,25.96,37.54,59.77,42.08,40.84,31.39,28.16,30.56
"O53_5012_O53_5012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1293_O53_1293",9,14.32,36.61,62.06,25.69,71.35,139.42,187.41,145.03,73.07,42.56,105.37,16.22,13.57,38.56,5.26,25.65,65.18
"O53_4645_insI",7.49,4.69,4.71,7.6,7.73,9.7,15.53,24.57,9.95,6.38,6.02,11.96,14.64,9.91,11.47,12.94,7.24,13.51
"O53_203_ssb",46.48,44.73,104.58,303.4,183.18,303.27,161.08,149.12,109.45,56.29,46.25,46.54,40.89,37.52,71.62,74.79,92.73,116.29
"O53_4210_O53_4210",24.73,27.09,27.21,30.06,27.38,23.37,35.92,26.55,20.54,16.73,12.15,12.52,22.94,14.37,15.58,20.59,11.22,20.31
"O53_29_O53_29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_750_O53_750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2860_secG",285.98,411.42,343.51,509.12,604.85,628.42,371.78,387.38,300.82,240.9,257.53,246.41,230.52,217.67,170.36,96.96,153.13,360.18
"O53_2238_cpcB",23779.32,26743.33,16742.16,3798.28,2292.1,1548.43,14548.33,9767.31,5887.02,36448.31,25323.4,35823.16,21910.06,20549.06,8176.16,11876.39,15129.02,20193.62
"O53_4324_O53_4324",30.5,13.89,43.44,3.12,16.49,9.34,111.05,124.84,49.47,38.77,35.68,38.73,27.82,7.81,31.24,6.16,38.11,53.12
"O53_4428_doc",9.07,6.39,15.44,9.67,17.19,9.59,24.01,18.63,12.68,43.63,31.6,25.08,59.74,17.76,25.13,13.93,13.93,27.3
"O53_2224_O53_2224",6.82,9.83,16.2,26.5,21.11,34.11,27.25,26.47,32.39,14.74,13.39,8.95,2.32,3.72,3.88,0,2,13.15
"O53_1062_cmpR",322.24,161.44,148.29,320,165.64,521.44,161.97,62.03,160.42,287.94,444.17,226.56,648.77,765.73,490.82,138.15,122.07,147.97
"O53_3925_O53_3925",555.56,1136.91,1931.39,2154.71,2024.23,3191.25,2736.59,4366.31,4449.09,1864.76,1687.72,1182.55,189.79,629.54,430.73,11.46,842.38,3170.74
"O53_197_O53_197",494.19,430.35,1003.3,1241.24,1895.53,2352.56,177.76,311.05,1595.46,54.32,103,173.95,98.61,172.56,197.53,72.87,173.53,873.87
"O53_2713_O53_2713",1.34,0,0,0,0,3.24,7.31,7.11,7.78,0.57,2.64,0,3.84,2.34,6.84,0,6.07,1.9
"O53_160_thrA",75.37,86.54,79.71,85.84,57.17,53.01,106.97,82.76,39.17,111.07,63.02,81.69,120.18,75.82,80.76,85.72,68.28,61.63
"O53_120_des6",619.31,531.98,516.96,364.25,353.26,270.11,382.86,290.32,146.84,218.52,156.91,143.05,178.72,169.41,112.78,169.22,142.35,176.23
"O53_3644_O53_3644",247.91,227.37,227.78,132.95,79.74,93.36,122.82,93.58,76.75,94.27,83.66,141.55,183.87,158.19,110.77,171.46,107.25,93.1
"O53_1780_O53_1780",0,0,0,0,0,22.33,0,0,143.52,0,0,0,0,0,0,73.15,0,0
"O53_1203_sphX",17.83,10.23,14.75,7.09,5.93,4.96,9.77,14.65,16.09,5.69,10.47,15.34,13.74,9.75,12.8,20.29,22.9,13.47
