"","mT19_11.3.1","mT19_11.3.2","mT19_11.3.3","mT19_12.4.1","mT19_12.4.2","mT19_12.4.3","mT19_6.15.1","mT19_6.15.2","mT19_6.15.3","mT19_7.23.1","mT19_7.23.2","mT19_7.23.3","mT19_9.10.1","mT19_9.10.2","mT19_9.10.3","mT19_9.29.1","mT19_9.29.2","mT19_9.29.3"
"O53_4487_pykF-4",42.93,35.29,61.5,41.31,31.27,35.54,168.05,102.04,57.29,53.17,43.79,82.26,140.93,62.13,68.91,54.37,84.58,106.32
"O53_2091_O53_2091",98.08,122.74,134.73,265.71,192.16,159.12,69.11,100.19,118.04,62.38,29.34,62.17,63.65,61.72,59.06,42.06,55.54,66.71
"O53_2551_yhdZ",24.46,24.74,35.84,38.34,30.93,43.23,40.01,44.1,26.56,15.76,17.29,22.75,36.59,21.52,27.95,27.51,26.88,32.47
"O53_4494_O53_4494",0,0,0,2.4,0,0,12.95,21.85,17.36,0,0,6.31,4.36,0,0,0,0,0
"O53_3283_O53_3283",105.48,83.32,90.85,75.84,43.61,45.14,40.4,48.25,80.38,45.08,54.11,112.97,68.47,72.35,85.18,86.67,81.07,122.82
"O53_157_artP",59.97,37.02,36.78,40.16,17.46,14.41,21.31,34.42,187.52,16.36,45.23,97.62,47.82,50.99,110.97,52.38,52.34,49.61
"O53_988_pstC",269.57,317.79,368.2,573.62,412.34,360.19,327.28,358.13,300.15,352.5,351.28,380.4,454.93,416.8,375.22,436.54,402.95,418.39
"O53_1311_rplX",241.99,320.86,272.86,368.85,49.67,62,267.48,203.32,19.95,255.14,209.31,233.45,297.65,393.02,95.8,411.54,237.52,142.04
"O53_4283_O53_4283",162.82,107.18,124.54,28.85,39.61,34.06,170.83,162.76,130.49,65.06,72.24,44.35,92.57,118.57,112.31,97.86,79.24,95.51
"O53_2746_O53_2746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2945_O53_2945",17.93,14.69,23,17.2,18.76,22.23,31.28,39.9,28.37,21.34,16.62,19.78,28.67,15.75,31.64,22.57,26.9,49.5
"O53_2391_O53_2391",10.56,2.37,11.23,60.44,21.24,20.33,17.12,11.23,9.57,11.44,18.06,18.72,25,4.77,17.23,20.72,4.94,11.9
"O53_1933_O53_1933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_844_O53_844",21.5,17.47,33.95,55.23,72.78,94.24,32.5,46.27,71.95,58.91,78.68,65.86,48.44,44.48,60.45,27.47,23.41,47.46
"O53_3964_O53_3964",3.23,3.15,5.65,2.17,1.27,2.19,22.5,9.33,8.49,2.05,0.65,3.3,2.53,3.82,0,0.4,1.04,4.68
"O53_2348_O53_2348",24.25,27.38,31.18,41.49,41.12,53.34,65.18,61.91,38.59,19,14.56,19.84,24.88,25.05,39.73,29.19,14.98,36.8
